gene,ENSG ID,conc [pg/L],sample type,number_of_samples,pubmed id
IL6,ENSG00000136244,1.20E+03,Plasma,10-100,10488965
IL6R,ENSG00000160712,2.70E+07,Plasma,10-100,22641612
IL7,ENSG00000104432,5.50E+04,Plasma,10-100,22641612
IL9,ENSG00000145839,5.60E+03,Plasma,10-100,27662073
INS,ENSG00000254647,8.00E+05,Plasma,10-100,11118012
INSL3,ENSG00000248099,6.90E+05,Plasma,10-100,24640568
ITLN1,ENSG00000179914,3.70E+08,Plasma,10-100,17329619
KL,ENSG00000133116,6.30E+05,Plasma,100+,29768278
KLKB1,ENSG00000164344,2.90E+10,Plasma,10-100,21376147
KNG1,ENSG00000113889,9.00E+10,Plasma,100+,3971563
LBP,ENSG00000129988,2.20E+10,Plasma,10-100,22960476
LCAT,ENSG00000213398,5.00E+09,Plasma,10-100,25039266
LECT2,ENSG00000145826,2.30E+07,Plasma,10-100,29642178
LEP,ENSG00000174697,1.70E+07,Plasma,10-100,22641612
LGALS1,ENSG00000100097,3.10E+06,Plasma,100+,32812932
LIPG,ENSG00000101670,4.40E+08,Plasma,100+,16354105
LPA,ENSG00000198670,7.90E+10,Plasma,100+,28476116
LRG1,ENSG00000171236,1.70E+10,Plasma,10-100,27378305
LTA,ENSG00000226979,2.80E+03,Plasma,01-Sep,22641612
LYZ,ENSG00000090382,2.10E+09,Plasma,10-100,20167661
MASP1,ENSG00000127241,9.70E+09,Plasma,10-100,25533914
MASP2,ENSG00000009724,4.90E+08,Plasma,10-100,23607747
MBL2,ENSG00000165471,2.30E+09,Plasma,100+,27557564
MDK,ENSG00000110492,1.60E+05,Plasma,100+,27089523
MET,ENSG00000105976,2.60E+08,Plasma,10-100,19766985
METRNL,ENSG00000176845,1.10E+06,Plasma,100+,29199003
MFGE8,ENSG00000140545,7.60E+06,Plasma,10-100,26375445
MIF,ENSG00000240972,2.20E+07,Plasma,10-100,20934703
MLN,ENSG00000096395,4.50E+05,Plasma,10-100,25393165
MMP9,ENSG00000100985,8.00E+07,Plasma,10-100,22641612
MYDGF,ENSG00000074842,2.10E+04,Plasma,10-100,24247484
NAMPT,ENSG00000105835,5.70E+05,Plasma,10-100,25498756
NPPB,ENSG00000120937,9.30E+03,Plasma,100+,9832489
NPPC,ENSG00000163273,2.70E+03,Plasma,10-100,15922659
NPTX2,ENSG00000106236,2.50E+06,Plasma,10-100,29025866
NPY,ENSG00000122585,4.50E+04,Plasma,10-100,10559701
NUCB2,ENSG00000070081,2.10E+06,Plasma,10-100,21163317
ORM1,ENSG00000229314,6.10E+11,Plasma,10-100,16038022
ORM2,ENSG00000228278,2.00E+08,Plasma,10-100,22363757
PCSK9,ENSG00000169174,1.40E+08,Plasma,10-100,23261172
PDGFB,ENSG00000100311,5.20E+05,Plasma,10-100,8789659
PF4,ENSG00000163737,7.70E+06,Plasma,10-100,6222505
PGF,ENSG00000119630,1.50E+04,Plasma,10-100,16630991
PLA2G2A,ENSG00000188257,1.00E+06,Plasma,01-Sep,22151235
PLA2G7,ENSG00000146070,7.40E+06,Plasma,100+,25879827
PLAT,ENSG00000104368,1.10E+07,Plasma,10-100,2116315
PLAU,ENSG00000122861,7.90E+05,Plasma,10-100,7874270
PLTP,ENSG00000100979,1.60E+10,Plasma,100+,10924722
PNOC,ENSG00000168081,1.10E+04,Plasma,10-100,12352616
POMC,ENSG00000115138,3.80E+05,Plasma,10-100,22641612
PON1,ENSG00000005421,1.50E+11,Plasma,10-100,27668323
PPY,ENSG00000108849,3.20E+04,Plasma,10-100,15980753
PRL,ENSG00000172179,1.40E+07,Plasma,10-100,22641612
PROS1,ENSG00000184500,2.30E+10,Plasma,10-100,22641612
PROZ,ENSG00000126231,1.70E+09,Plasma,100+,14652653
PYY,ENSG00000131096,8.20E+04,Plasma,10-100,22459207
RBP4,ENSG00000138207,1.80E+10,Plasma,10-100,17065684
RETN,ENSG00000104918,6.70E+06,Plasma,10-100,16330895
RETNLB,ENSG00000163515,1.20E+05,Plasma,10-100,21094111
RLN2,ENSG00000107014,4.60E+04,Plasma,10-100,23994775
RLN3,ENSG00000171136,6.90E+04,Plasma,10-100,23994775
RNASE3,ENSG00000169397,3.50E+06,Plasma,10-100,16951266
S100A12,ENSG00000163221,8.10E+06,Plasma,10-100,15531492
SAA1,ENSG00000173432,3.00E+08,Plasma,10-100,25531567
SAA2,ENSG00000134339,5.00E+07,Plasma,10-100,26177823
SAA4,ENSG00000148965,5.50E+10,Plasma,10-100,7775864
SCT,ENSG00000070031,4.40E+03,Plasma,10-100,31087
SCUBE1,ENSG00000159307,8.60E+06,Plasma,10-100,28379666
