Gene,ENSG_ID,Concentration,Sample_Type,Number_of_Samples,PubMed_ID
TIMP1,ENSG00000102265,1.1E8,Serum,10-100,21854733
TIMP1,ENSG00000102265,1.9E8,Serum,10-100,22641612
TNF,ENSG00000232810,1.3E3,Serum,10-100,12574959
TNF,ENSG00000232810,1.5E4,Serum,10-100,22165670
TNFRSF1B,ENSG00000028137,4.0E6,Serum,10-100,15542448
TNFRSF6B,ENSG00000243509,4.1E5,Serum,10-100,20392250
TNFRSF6B,ENSG00000243509,6.4E4,Serum,10-100,26911723
TNFRSF6B,ENSG00000243509,7.4E5,Serum,10-100,27251675
TNFSF10,ENSG00000121858,4.2E4,Serum,10-100,26609227
TNFSF10,ENSG00000121858,1.2E5,Serum,100+,26633016
TNFSF10,ENSG00000121858,4.3E4,Serum,10-100,28800513
TNFSF11,ENSG00000120659,2.9E4,Serum,10-100,27195253
TNFSF13,ENSG00000161955,7.8E2,Serum,10-100,26395262
TNFSF13B,ENSG00000102524,9.7E5,Serum,10-100,26424128
TNFSF14,ENSG00000125735,2.6E4,Serum,10-100,26133108
TNFSF14,ENSG00000125735,4.2E4,Serum,1-9,26448572
TNFSF15,ENSG00000181634,2.2E6,Serum,10-100,24016146
TNFSF15,ENSG00000181634,5.3E5,Serum,10-100,25200589
TNFSF15,ENSG00000181634,6.1E5,Serum,10-100,28397078
TSLP,ENSG00000145777,1.1E4,Serum,10-100,27152943
TSLP,ENSG00000145777,6.6E4,Serum,10-100,27757939
TTR,ENSG00000118271,2.9E11,Serum,10-100,23546595
TTR,ENSG00000118271,4.0E11,Serum,10-100,24940434
UCN2,ENSG00000145040,9.9E4,Serum,10-100,27841039
UTS2,ENSG00000049247,7.6E6,Serum,10-100,29804270
VCAM1,ENSG00000162692,6.5E8,Serum,10-100,22641612
VEGFA,ENSG00000112715,3.4E5,Serum,10-100,27388431
VEGFA,ENSG00000112715,1.3E6,Serum,10-100,22641612
VEGFD,ENSG00000165197,4.1E5,Serum,10-100,23127572
VEGFD,ENSG00000165197,1.5E6,Serum,10-100,23437092
VEGFD,ENSG00000165197,2.3E5,Serum,10-100,25670042
VEGFD,ENSG00000165197,2.3E5,Serum,10-100,25670042
VGF,ENSG00000128564,1.3E6,Serum,10-100,28635540
VIP,ENSG00000146469,8.9E4,Serum,10-100,24847167
VIP,ENSG00000146469,1.5E5,Serum,10-100,27250233
VTN,ENSG00000109072,9.7E9,Serum,10-100,27216146
VTN,ENSG00000109072,3.4E11,Serum,10-100,7680696
VTN,ENSG00000109072,1.4E12,Serum,10-100,22641612
VWF,ENSG00000110799,3.8E10,Serum,10-100,22641612
