Gene,ENSG_ID,Concentration,Sample_Type,Number_of_Samples,PubMed_ID
GDF2,ENSG00000263761,6.2E6,Serum,10-100,18309101
GDF2,ENSG00000263761,1.1E5,Serum,100+,24658374
GH1,ENSG00000259384,1.7E6,Serum,10-100,24280021
GH1,ENSG00000259384,1.8E6,Serum,10-100,25977383
GH1,ENSG00000259384,4.0E6,Serum,10-100,22641612
GHR,ENSG00000112964,2.1E6,Serum,100+,17884454
GHR,ENSG00000112964,2.3E6,Serum,100+,17884454
GHRL,ENSG00000157017,1.3E5,Serum,10-100,30465249
GNLY,ENSG00000115523,3.7E6,Serum,100+,12884856
GPLD1,ENSG00000112293,1.0E11,Serum,10-100,16595594
GPX3,ENSG00000211445,2.8E7,Serum,10-100,22017790
GPX3,ENSG00000211445,1.3E10,Serum,10-100,26767034
GRN,ENSG00000030582,1.4E8,Serum,10-100,26659729
GZMB,ENSG00000100453,2.2E3,Serum,10-100,28972805
HBEGF,ENSG00000113070,1.1E5,Serum,1-9,21873174
HBEGF,ENSG00000113070,3.0E5,Serum,10-100,22641612
HGF,ENSG00000019991,4.3E6,Serum,10-100,22641612
HGFAC,ENSG00000109758,2.8E5,Serum,10-100,16005141
HGFAC,ENSG00000109758,1.8E7,Serum,10-100,18691255
HP,ENSG00000257017,1.6E12,Serum,10-100,22641612
HPR,ENSG00000261701,4.9E10,Serum,10-100,23185445
IFNA1,ENSG00000197919,1.0E4,Serum,1-9,29385874
IFNA2,ENSG00000188379,6.8E4,Serum,10-100,25040886
IFNB1,ENSG00000171855,3.1E3,Serum,1-9,23507374
IFNB1,ENSG00000171855,4.4E3,Serum,10-100,24348680
IFNL1,ENSG00000182393,1.7E5,Serum,10-100,21145813
IFNL1,ENSG00000182393,1.1E4,Serum,10-100,26057401
IFNL1,ENSG00000182393,1.1E5,Serum,10-100,29040985
IFNL3,ENSG00000197110,2.0E3,Serum,10-100,25501286
IFNL3,ENSG00000197110,1.4E3,Serum,10-100,29040985
IGF1,ENSG00000017427,1.8E8,Serum,100+,11018095
IGF1,ENSG00000017427,4.1E7,Serum,10-100,22641612
IGF2,ENSG00000167244,9.5E8,Serum,100+,21932422
IGFALS,ENSG00000099769,1.4E10,Serum,10-100,10372706
IGFBP1,ENSG00000146678,2.4E7,Serum,100+,11018095
IGFBP1,ENSG00000146678,3.2E7,Serum,10-100,28143425
IGFBP2,ENSG00000115457,6.2E8,Serum,100+,22555360
IGFBP2,ENSG00000115457,4.6E8,Serum,10-100,28036255
IGFBP2,ENSG00000115457,6.6E7,Serum,10-100,22641612
IGFBP3,ENSG00000146674,2.9E9,Serum,100+,11018095
IGFBP4,ENSG00000141753,4.4E8,Serum,10-100,27019456
IGFBP4,ENSG00000141753,8.5E7,Serum,100+,28964325
IGFBP5,ENSG00000115461,2.1E8,Serum,10-100,11788658
IGFBP5,ENSG00000115461,1.1E7,Serum,10-100,24379630
IGFBP6,ENSG00000167779,3.9E8,Serum,10-100,15588149
IGFBP6,ENSG00000167779,1.2E8,Serum,100+,22837797
IGFBP7,ENSG00000163453,3.0E7,Serum,10-100,28684903
IL10,ENSG00000136634,7.5E3,Serum,10-100,22641612
IL12B,ENSG00000113302,2.0E5,Serum,10-100,22641612
IL13,ENSG00000169194,4.9E4,Serum,10-100,22641612
IL15,ENSG00000164136,4.3E5,Serum,10-100,22641612
IL16,ENSG00000172349,1.0E5,Serum,10-100,14755377
IL16,ENSG00000172349,1.9E5,Serum,100+,27788245
IL16,ENSG00000172349,3.7E5,Serum,10-100,22641612
IL17B,ENSG00000127743,4.0E4,Serum,10-100,25369802
IL17B,ENSG00000127743,1.1E5,Serum,10-100,27146881
IL17C,ENSG00000124391,4.0E4,Serum,10-100,25369802
IL17C,ENSG00000124391,2.1E4,Serum,10-100,25492478
IL17D,ENSG00000172458,2.5E4,Serum,10-100,25369802
IL17F,ENSG00000112116,2.0E4,Serum,10-100,25369802
IL17F,ENSG00000112116,4.0E4,Serum,10-100,29483158
IL18,ENSG00000150782,2.4E5,Serum,100+,26417840
IL18,ENSG00000150782,6.0E4,Serum,10-100,27047807
IL18,ENSG00000150782,3.1E5,Serum,10-100,22641612
IL18BP,ENSG00000137496,2.5E6,Serum,10-100,11497494
