Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
Q6PIF2,1.33E-05,Q96RY7,7.93E-06,Q9NVR5,0.000194207,Q8NEY1,0.0000102,P51957,0.00000357,,,Q8N443,0.0000174,O95197-3,0.804809918,Q8TAX9,0.000201212,A0A075B6J4,0.0000715,Q3LXA3,0.0000702,Q6YHU6,0.0000425
Q6PIF6,1.80E-05,Q96S06,0.000248238,O94759,0.000194237,Q8NEY8,0.000762939,Q7Z7A3,0.00000357,,,Q8N465,0.0000376,P16930,0.804819816,Q15121,0.000201264,P14778,0.0000715,Q7L3T8,0.0000703,Q9NYB0,0.0000426
Q6PII3,0.19710404,Q96S15,0.000185779,Q9NRH2,0.000194637,Q8NEZ2,0.000480533,Q9Y5A9,0.00000357,,,Q8N488,0.000641244,Q9UGI8,0.804822044,Q14112,0.000201447,Q9NPA8,0.0000716,Q12841,0.0000704,Q9H0W9,0.0000426
Q6PIJ6,0.21199541,Q96S19,0.000639907,Q9Y2H6,0.000194871,Q8NEZ4,0.00000343,Q9ULU4-13,0.00000357,,,Q8N490,0.000185704,Q15286,0.804834307,Q8N5C8,0.000201855,P54253,0.0000717,Q9Y3B2,0.0000704,Q96GZ6-7,0.0000426
Q6PIU1,8.09E-06,Q96S38,1.55E-05,O60307,0.000195069,Q8NF37,0.003248512,I3L4N8,0.00000359,,,Q8N4A0,0.0000793,B4E3Q4,0.804853179,A8MT69,0.000202215,Q00978,0.0000718,Q9H9G7,0.0000704,Q5U623,0.0000426
Q6PIW4,0.300882383,Q96S44,0.001789984,P0C1Z6,0.000195222,Q8NF50,0.00280941,Q16775-2,0.00000359,,,Q8N4B4,0.000045,Q8IWB7,0.804858999,Q04637-3,0.000202433,Q13349,0.0000719,Q13501,0.0000705,Q9ULZ3,0.0000427
Q6PIY5,9.19E-06,Q96S52,0.000670112,O14949,0.000195463,Q8NF64,0.000357065,A0A087WTM7,0.0000036,,,Q8N4C6,0.00054551,Q7Z6Z7-2,0.804908163,P0C870,0.000202742,P46783,0.0000719,P05013,0.0000705,P11215,0.0000427
Q6PIZ9,0.213990626,Q96S55,0.00040574,Q9Y2X0-2,0.000196095,Q8NF91,0.000726464,P43003,0.00000361,,,Q8N4C8,0.000123387,Q13636,0.80509007,A0A0A0MR61,0.000202866,P11047,0.0000719,Q9NUX5,0.0000706,O75607,0.0000427
Q6PJ69,0.170578918,Q96S59,0.000963635,A0A0B4J269,0.000196178,Q8NFA0,0.005492947,Q9Y5Y5,0.00000361,,,Q8N4F0,0.0000297,O15427,0.805111832,Q96BN8,0.000203515,Q96B23,0.000072,P24158,0.000071,P50851-2,0.0000428
Q6PJE2,9.99E-05,Q96S66,0.000212511,Q96EY8,0.000196504,Q8NFA2,0.000014,Q5TEU4,0.00000362,,,Q8N4H5,0.000935555,Q12874,0.805384197,P17036,0.00020392,Q96ER3,0.000072,Q99798,0.0000711,Q9Y333,0.0000428
Q6PJF5,0.262536072,Q96S82,0.000556,B4E2Q0,0.000196577,Q8NFC6,0.000621531,Q8NBM4,0.00000364,,,Q8N4J0,0.00000638,Q5T8U5,0.805404047,P19474,0.000204052,Q9H1X3,0.0000721,Q03188,0.0000711,P04843,0.0000428
Q6PJG2,0.227902448,Q96S90,8.66E-05,Q96S15-2,0.000197135,Q8NFD2,0.0000671,Q9BRS2,0.00000368,,,Q8N4L2,0.000218167,Q96L92,0.805440631,P53803,0.000204149,O60832,0.0000721,Q8NBI2,0.0000711,Q8TF65,0.0000429
Q6PJG6,0.175433544,Q96S97,0.005930306,P59666,0.000197526,Q8NFD5,0.00014798,Q8N3Z6,0.00000369,,,Q8N4N3,0.00030393,Q13185,0.805465766,Q16822,0.000204182,Q9Y5V0,0.0000721,Q9UHC7,0.0000712,Q96GX9,0.0000429
Q6PJI9,0.220498241,Q96S99,0.000952516,Q8NHQ9,0.000197618,Q8NFF5,0.000115688,P08183,0.00000372,,,Q8N4N8,0.0000885,Q16795,0.80555277,Q06323,0.00020446,Q9Y4D1,0.0000722,Q13362-4,0.0000712,A0A0B4J1U3,0.000043
Q6PJP8,8.01E-07,Q96SB3,0.001030443,Q9H469,0.000197932,Q8NFH3,0.002632181,B5MC53,0.00000374,,,Q8N4P3,0.004617735,Q7L5N7,0.805555507,Q8N122,0.0002045,Q6P589,0.0000722,P02461,0.0000712,P78345,0.000043
Q6PJT7,0.238280354,Q96SB4,0.000676524,O00764,0.000198678,Q8NFH4,0.000567503,P09493-10,0.00000376,,,Q8N4Q1,0.003674197,Q9BVK6,0.805605704,Q9UPU7,0.000204564,Q02318,0.0000723,Q9Y2Y4,0.0000713,Q9H7B2,0.000043
Q6PJW8,0.21718673,Q96SB8,0.000413365,Q13015,0.00019894,Q8NFH5,0.002208743,Q8NI38,0.00000376,,,Q8N4S0,0.000580284,O00487,0.805639998,P61966,0.000204569,Q14435,0.0000724,Q9NV88,0.0000714,P28067,0.000043
Q6PK04,0.316527765,Q96SI9,0.001252308,Q9BVV7,0.000198994,Q8NFH8,0.000024,Q7L4I2,0.00000377,,,Q8N4T8,0.002671481,P36871,0.805677047,Q8IZH2,0.000204718,Q969R5,0.0000724,O95749,0.0000714,Q9H0V1,0.000043
Q6PKG0,0.190401257,Q96SJ8,0.001693751,P43630,0.000199302,Q8NFI3,0.000442911,P43628,0.00000378,,,Q8N4U5,0.0000752,O95373,0.805816485,Q9Y6U3-2,0.000204806,Q969G6,0.0000725,Q9BQS8,0.0000715,Q96Q42,0.000043
Q6PKH6,0.000606546,Q96SK2,0.00066403,P07099,0.00019957,Q8NFM4,0.0000133,Q15796-2,0.0000038,,,Q8N4V1,0.00044171,P98082,0.805904983,Q9BY49,0.000204837,E9PSG1,0.0000725,Q9GZL7,0.0000715,Q99720,0.0000431
Q6PL18,0.216464402,Q96SN8,1.01E-05,Q58FF8,0.000199577,Q8NFP4,0.00000416,Q9H4F1,0.00000382,,,Q8N4W9,0.0000231,Q9BV40,0.805929662,P61353,0.00020492,P00414,0.0000725,Q92664,0.0000716,Q8NF37,0.0000433
