Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
O15455,3.76E-05,O75529,0.000177689,Q04917,0.177216953,O60506,0.009632303,P05090,0.020675975,,,O43813,0.00336604,Q5Y7D2,0.640576771,Q9HCM1,0.00000379,Q6F5E8,0.00000136,A0A0D9SFE4,0.00000121,Q7Z6K3,0.000000816
O15479,9.58E-05,O75530,0.000431959,O00264,0.089898932,O60508,0.000148094,P05091,0.020039045,,,O43815,0.003283828,Q9NX74,0.640634321,Q6YN16,0.0000038,Q9HCU5,0.00000136,Q2TAL8,0.00000122,Q9ULM3,0.000000816
O15480,9.65E-05,O75531,0.035825724,P63241,0.293780058,O60512,0.0000874,P05106,0.001367968,,,O43818,0.001060388,G5E9C8,0.640640568,Q13085,0.00000381,S4R3S3,0.00000137,Q96EX1,0.00000122,P46778,0.000000818
O15482,4.20E-07,O75533,0.007696269,P06239,0.115477446,O60518,0.000119104,P05107,0.037511945,,,O43819,0.000287452,Q5F1R6,0.640721045,Q13257,0.00000381,Q6PII3,0.00000137,Q9Y314,0.00000122,Q9Y2R9,0.000000819
O15492,4.23E-06,O75534,0.001599746,P07359,0.02079029,O60522,0.0000614,P05109,0.500017784,,,O43822,0.000187463,Q15648,0.640737499,Q86U38,0.00000382,Q96P48,0.00000137,Q9Y5B6,0.00000122,Q13404,0.00000082
O15498,0.235049687,O75554,0.000156113,P42229,0.041782433,O60524,0.003035416,P05111,0.0000561,,,O43823,0.002614499,Q6ZXV5,0.640743143,P20042,0.00000382,P50135,0.00000137,Q14444,0.00000123,Q8WUY8,0.000000821
O15504,0.218258492,O75558,0.000177787,P04424,0.035898773,O60547,0.001064317,P05114,0.0047527,,,O43824,0.000425465,Q9NWT1,0.640788033,P28288,0.00000382,Q9UBE0,0.00000138,Q99447,0.00000123,O60825-2,0.000000826
O15511,0.212574509,O75563,8.53E-05,Q9Y696,0.170757871,O60551,0.000645298,P05120,0.005860862,,,O43829,0.000194909,Q9ULX3,0.640823716,Q7L5N7-2,0.00000383,O75817,0.00000138,F5H2Q3,0.00000123,Q9UM00,0.000000826
O15514,0.237082738,O75569,0.001865016,P60900,0.23000733,O60563,0.005508689,P05129,0.000191882,,,O43837,0.007392083,A0A0J9YY72,0.640889746,P49842-4,0.00000383,P79522,0.00000138,O95297-3,0.00000124,Q9UM21,0.000000826
O15519,0.201983552,O75582,0.001064001,Q6PCE3,0.066168452,O60568,0.00502399,P05141,0.023708422,,,O43847,0.000422147,E5RI87,0.640917297,Q9HAJ7,0.00000384,Q7KZF4,0.00000139,Q9NZI7,0.00000124,O96007,0.000000827
O15520,3.54E-05,O75592,0.000489708,Q15738,0.106573937,O60573,0.001068835,P05154,0.001815393,,,O43852,0.002372883,A8MYV2,0.640926996,Q9H1H9,0.00000384,P39023,0.0000014,Q9H400,0.00000124,P50851,0.000000828
O15525,0.304558667,O75600,1.29E-05,P01033,0.071907461,O60575,0.000218204,P05155,0.015754984,,,O43865,0.001528955,Q8N108-19,0.640945159,Q9C005,0.00000385,Q9Y6D6,0.0000014,Q9Y287,0.00000124,A0A087WZU9,0.000000829
O15527,7.21E-05,O75607,0.000431771,P51692,0.092253232,O60603,0.006068735,P05156,0.006219136,,,O43868,0.0000702,A5PLL7-2,0.640975957,Q96LD4,0.00000387,Q6ZNE5,0.0000014,Q9C035,0.00000124,Q9NQW7-3,0.000000831
O15530,0.220121617,O75608,0.005301065,Q13409,0.146925786,O60613,0.000995919,P05160,0.002024412,,,O43896,0.0000232,Q9Y243,0.640979484,O60825,0.00000387,Q8NF50,0.00000141,Q5SW79-2,0.00000124,O95248-4,0.000000832
O15533,0.256895174,O75616,0.000111147,J3KND3,0.375502834,O60635,0.0000137,P05164,0.073646268,,,O43897,0.000069,G3V2U7,0.641010371,Q03989,0.00000387,Q9UBJ2,0.00000141,Q9UI26,0.00000124,Q8WTS1,0.000000833
O15534,0.299123917,O75618,2.52E-05,Q13765,0.229310067,O60645,0.000391141,P05166,0.001190204,,,O43900,0.000120928,Q9BV94-2,0.641100648,Q13636,0.00000387,A1X283,0.00000141,V9GYP0,0.00000125,A0A0B4J235,0.000000837
O15541,0.1678677,O75626,2.47E-05,Q01970,0.051201873,O60656,0.00000782,P05198,0.004593246,,,O43913,0.000118036,Q12840,0.641161454,Q9NVR0,0.00000388,P10720,0.00000141,Q8TCA0,0.00000125,P03950,0.000000837
O15550,0.188324466,O75643,0.004530387,P21397,0.074374698,O60662,0.00000343,P05204,0.005582818,,,O43914,0.001569838,H0Y4E8,0.641166442,P52948,0.00000388,Q8TAU3-2,0.00000141,P07711,0.00000125,Q16798,0.000000838
O15553,0.001077375,O75663,0.002474928,O43242,0.216795094,O60664,0.004508833,P05362,0.001425306,,,O43918,0.00000992,F5H658,0.641173151,Q8IWA5-3,0.00000389,P04062,0.00000141,Q6PII3,0.00000125,M0QY01,0.000000839
O43143,0.202989535,O75665,0.000239185,Q9Y5L0,0.117086514,O60669,0.00012294,P05386,0.010359449,,,O43920,0.001961101,Q00534,0.641179639,E7EPN9,0.00000389,O14639-6,0.00000141,O95497,0.00000125,O95716,0.000000839
O43147,3.09E-06,O75674,0.000160362,X6R9L0,0.093504729,O60671,0.000675238,P05387,0.015922936,,,O43924,0.001671165,O15020-2,0.641337965,Q5T6S3,0.00000389,P51878,0.00000142,Q99501,0.00000125,P84101,0.00000084
O43148,0.242027293,O75676,0.000302863,Q9NQ75,0.012836787,O60674,0.000112648,P05388,0.015460387,,,O43927,0.0000222,Q13009-2,0.641340336,Q96FH0,0.0000039,K7EQ37,0.00000142,Q8WVR3,0.00000125,Q969X0,0.00000084
O43149,0.172611239,O75683,0.000648794,Q92520,0.091698997,O60675,0.001047531,P05452,0.016975662,,,O43929,0.000179483,P47974,0.641341065,Q6RW13,0.0000039,O75319,0.00000142,Q16718,0.00000125,P09651-2,0.000000841
O43150,2.73E-05,O75688,0.002186358,Q15435,0.141973432,O60683,0.0000246,P05455,0.00290516,,,O43933,0.000226129,O60449-2,0.641390313,Q96IW7,0.0000039,Q9HCD6-2,0.00000142,A0A087WTJ2,0.00000126,Q9P2W9,0.000000842
O43151,1.27E-05,O75691,0.000116318,P20674,0.129154524,O60684,0.000771812,P05543,0.006215207,,,O60216,0.008717025,Q9NYH9,0.641452976,Q16763,0.00000391,Q12986,0.00000142,O14503,0.00000126,O95684,0.000000842
O43156,0.167215743,O75694,0.003382219,P18084,0.076555879,O60701,0.000325537,P05546,0.007539226,,,O60218,0.000189212,Q6R327,0.641539359,Q96FJ0,0.00000393,O94985-2,0.00000143,Q9NTX5,0.00000126,P53680,0.000000845
O43159,0.174350518,O75695,0.000847001,P16671,0.023256771,O60704,0.000416414,P05556,0.002513252,,,O60220,0.001474067,Q08ET2,0.641614057,Q7L8W6,0.00000393,Q8NBJ4,0.00000143,Q9Y3L5,0.00000126,Q9H9F9,0.000000846
O43164,0.206746368,O75717,7.18E-05,Q12765,0.055709229,O60711,0.003596033,P05783,0.000165711,,,O60229,0.00000694,Q9NZI7-4,0.641648792,B3KTM8,0.00000395,P22897,0.00000143,P27338,0.00000126,O75791,0.000000847
O43166,0.304514368,O75746,0.002875047,Q0ZGT2,0.030375405,O60716,0.0000385,P05787,0.001194018,,,O60231,0.000466462,O60749-2,0.641711437,Q8WTR2,0.00000396,P14927,0.00000143,Q5JSZ5,0.00000126,Q9UEU0,0.000000849
O43167,0.178346156,O75752,1.90E-05,O43865,0.142098582,O60729,0.00000347,P05997,0.0000637,,,O60234,0.009373661,B4DE15,0.641713111,P51151,0.00000396,A0A087WXL8,0.00000143,Q9UFW8,0.00000126,Q7Z3B4,0.000000851
O43169,0.017143574,O75764,0.000176366,Q9ULC5,0.06484544,O60739,0.001051331,P06132,0.001555063,,,O60237,0.000079,Q9UDY4,0.641926346,P07148,0.00000396,Q9BT25,0.00000143,A0A096LP38,0.00000126,P54725,0.000000851
O43172,0.250801819,O75771,1.22E-05,P35998,0.113251645,O60749,0.00220294,P06239,0.0000674,,,O60238,0.000252667,Q96HQ2,0.64192691,Q14669-2,0.00000397,P78560,0.00000144,Q12815,0.00000127,P48444,0.000000852
O43181,0.239394973,O75791,0.006755814,P04179,0.083362146,O60759,0.0000747,P06241,0.001888253,,,O60239,0.000363922,I3L399,0.641960124,P09497-2,0.00000397,Q96PK6,0.00000144,Q9P0S9,0.00000127,Q9HAB3,0.000000856
O43182,1.64E-05,O75792,0.002604177,Q7LDG7,0.021311212,O60762,0.001457119,P06276,0.000862472,,,O60241,0.00000748,C9JQB1,0.6419631,Q9Y2Y1,0.00000397,Q01780,0.00000144,Q9UKE5-2,0.00000127,Q32P44,0.000000856
O43189,0.000746071,O75818,0.000877175,G5E9A6,0.041240987,O60763,0.003724941,P06280,0.000327799,,,O60244,0.000239456,O60907-2,0.64199184,O75534,0.00000397,P27816-5,0.00000144,Q9H4M7,0.00000127,Q8N9T8,0.000000857
O43193,1.30E-05,O75821,0.005209151,Q86TX2,0.089625087,O60783,0.00043108,P06396,0.017941329,,,O60256,0.004743402,P06396-3,0.642001426,Q8IV63,0.00000398,P43489,0.00000144,A0A087WU05,0.00000127,P02545-2,0.000000858
O43236,0.000141146,O75822,0.001720195,P20936,0.03145521,O60784,0.000681855,P06400,0.000390014,,,O60262,0.004253464,F1LLU8,0.64207781,Q8N5N7,0.00000398,Q15007,0.00000144,P06493,0.00000127,P15374,0.00000086
O43237,0.230187499,O75828,0.003895227,O00232,0.173832979,O60814,0.024826577,P06454,0.017014532,,,O60264,0.004633996,O95427,0.64208106,Q9GZS3,0.000004,Q9Y3E0,0.00000145,Q13451,0.00000127,Q9H269,0.00000086
O43242,0.198322132,O75832,0.00418809,Q14997,0.070048093,O60826,0.000888879,P06493,0.000165085,,,O60271,0.000965133,F5H631,0.642083612,Q9P2D3,0.000004,Q02742,0.00000145,Q96JJ7,0.00000127,P49406,0.00000086
O43252,0.174201252,O75843,0.00095839,Q14651,0.100919692,O60828,0.001947989,P06576,0.036276106,,,O60281,0.0000323,Q9UK58-5,0.642091227,Q9C0E2,0.00000401,P20742,0.00000145,P78527,0.00000128,Q92917,0.000000863
O43257,0.000614559,O75844,0.001801735,Q14118,0.039896018,O60830,0.000595163,P06681,0.00316224,,,O60282,0.000278715,F2Z2V1,0.642092803,O15514,0.00000401,Q15113,0.00000145,O94887,0.00000128,H0YCG3,0.000000863
O43264,0.235565769,O75865,0.000159655,Q13867,0.055389915,O60831,0.001838759,P06702,0.367839364,,,O60285,0.000112917,A0A087WVD7,0.642166878,P33316,0.00000401,Q9NPG8,0.00000145,P09110,0.00000128,Q9UJX2,0.000000864
O43283,4.96E-07,O75874,0.003019861,Q9UMX0,0.136949565,O60832,0.002697696,P06703,0.012564818,,,O60287,0.000159816,Q9ULE6,0.642174947,Q96GR4,0.00000403,O15013,0.00000146,Q9HCJ3,0.00000128,Q9BYV9,0.000000864
O43286,0.203001901,O75879,8.90E-05,P11177,0.09216992,O60840,0.0000106,P06727,0.042381933,,,O60292,0.000160758,Q8IZK6,0.642197154,Q8NDZ4,0.00000405,P00352,0.00000146,Q8IYB8,0.00000128,Q96S44,0.000000866
O43290,0.188208944,O75880,0.000737378,Q9BZE1,0.079613109,O60841,0.001669425,P06730,0.005468104,,,O60293,0.000115721,P11274,0.642270876,P04040,0.00000408,P33681,0.00000146,Q99728,0.00000128,Q96P48,0.000000866
O43292,0.208747751,O75884,0.001661341,P28290,0.060751256,O60861,0.010329081,P06733,0.109477994,,,O60306,0.000943182,F5H3L3,0.642285679,Q8N1K5-4,0.00000408,P25105,0.00000146,Q6PJ61,0.00000128,Q9NP31-4,0.000000867
O43293,0.223509412,O75886,0.000374241,O76013,0.131013892,O60869,0.003988088,P06737,0.018046364,,,O60307,0.000322122,F2Z3H6,0.642375407,Q9BSF0,0.00000409,O94886,0.00000146,Q9Y275,0.00000129,Q9H6Z4,0.000000869
O43294,2.54E-05,O75891,6.10E-05,P20794,0.052419859,O60870,0.000118257,P06746,0.000486112,,,O60308,0.0000247,A0A2R8Y6W8,0.64237884,O75626,0.00000409,Q13356,0.00000146,Q2TBE0,0.00000129,Q9BUB7,0.000000869
O43295,2.22E-06,O75907,0.000240423,G3XAH0,0.022023535,O60879,0.0000816,P06748,0.016225939,,,O60312,0.00000389,Q6UWU2,0.642379723,Q15326,0.00000409,Q52LA3,0.00000146,Q96AZ6,0.00000129,Q9NS91,0.00000087
O43296,0.000122708,O75909,0.001532769,Q13586,0.106484544,O60880,0.005248595,P06865,0.006308995,,,O60313,0.005607691,B4DKD1,0.642397621,E9PS23,0.00000409,Q92771,0.00000147,Q58FF6,0.00000129,O00159,0.00000087
O43298,0.003926426,O75912,4.46E-05,Q9Y4E8,0.123057944,O60884,0.002278833,P06899,0.023498894,,,O60315,0.000053,P17039,0.642426498,Q9Y3Q8,0.0000041,Q6UXH1-5,0.00000148,Q06787-6,0.00000129,Q8NDX5,0.000000871
O43301,2.90E-06,O75914,0.000736248,Q14532,0.135715946,O60885,0.000746015,P07099,0.003174073,,,O60318,0.00030988,B9TX33,0.642428627,F5H2Q3,0.00000411,O15155,0.00000148,Q7L592,0.0000013,P68104,0.000000873
O43303,0.199778941,O75915,0.077059537,P52907,0.274918206,O60888,0.008010986,P07108,0.034263546,,,O60330,0.0000102,P53803,0.642483176,Q8NHP6,0.00000411,Q92918-2,0.00000148,Q96CP2,0.0000013,P49840,0.000000873
O43306,5.53E-06,O75923,1.53E-05,P41091,0.231437613,O60906,0.000119644,P07195,0.023313465,,,O60331,0.000138711,O76095-2,0.642584068,Q9NSV4,0.00000411,Q9H3G5,0.00000148,Q5T2T1,0.0000013,P20020-6,0.000000874
O43307,7.93E-05,O75925,5.02E-05,P54760,0.057157671,O60921,0.0000832,P07196,0.000490277,,,O60333,0.0000277,Q9BV19,0.642589668,Q8N300,0.00000412,Q9ULU4-4,0.00000148,Q8IWY9,0.0000013,P80511,0.000000874
O43312,0.198713853,O75934,0.003788353,P08865,0.161962585,O60925,0.001244568,P07197,0.00033319,,,O60336,0.00000175,Q9NXR1,0.642624378,P01579,0.00000412,Q8ND56,0.00000149,Q6SZW1,0.0000013,Q5S007,0.000000875
O43318,0.321453559,O75935,0.00149992,Q9HC38,0.162408596,O60927,0.002319669,P07199,0.000278097,,,O60341,0.00093786,Q86UV5-2,0.642626246,P49407-2,0.00000412,Q66K14,0.00000149,M0QZD8,0.0000013,Q68D51,0.000000875
O43320,0.000298314,O75937,0.010621254,A2AEA2,0.1065165,O60928,0.0000107,P07203,0.011824031,,,O60343,0.00000782,Q53R41,0.642729638,Q9UL03,0.00000413,Q8NI27,0.00000149,Q16690,0.0000013,P20645,0.000000876
O43324,0.187090937,O75940,0.004372138,O15231,0.078343733,O60934,0.000910691,P07205,0.019073777,,,O60359,0.0000329,Q9P2G4,0.642734546,Q96S82,0.00000414,Q9H7D7,0.00000149,Q8WUJ0,0.0000013,Q9BTY2,0.000000876
O43347,0.000109102,O75947,0.013683228,O43615,0.139631345,O60941,0.0000855,P07225,0.001586376,,,O60381,0.0000641,H0YEP0,0.642747298,Q9HAN9,0.00000414,Q8ND30,0.00000149,Q9BUT9,0.0000013,Q96BI3,0.000000878
O43353,0.188300614,O75955,0.002209444,Q15118,0.019552873,O60942,0.0000298,P07237,0.03009396,,,O60391,0.0000381,Q9UBB6-2,0.642821642,Q9UID6,0.00000415,P04839,0.00000149,P49748,0.0000013,Q9NVU0,0.000000879
O43374,0.000190868,O75956,0.000277333,P15153,0.183684051,O75019,0.0000368,P07305,0.002477609,,,O60437,0.0000283,Q5TH58,0.64284273,A0A075B738,0.00000415,P04629,0.00000149,P32302,0.00000131,P61916,0.000000879
O43379,0.195079593,O75962,2.13E-05,P53602,0.067741762,O75022,0.000140543,P07311,0.004838964,,,O60447,0.000031,Q8TAD8,0.642849779,P50750,0.00000416,P13073,0.00000151,O43683,0.00000131,Q5T4S7,0.00000088
O43390,0.212593599,O75964,0.009173885,Q92973,0.209983373,O75023,0.000042,P07332,0.004386969,,,O60449,0.000611568,H0Y866,0.642868336,P26718,0.00000416,P08603,0.00000151,Q10567,0.00000131,P07954-2,0.00000088
O43395,0.244643286,O75995,0.005715401,P07864,0.227343429,O75027,0.000495918,P07333,0.000303325,,,O60476,0.000111415,Q5JSL0,0.642926281,P49591,0.00000417,Q7Z7F7,0.00000151,Q9Y3T6,0.00000131,O95427,0.000000882
O43396,0.251867918,O76003,0.004497512,P61221,0.091529647,O75030,0.000161364,P07339,0.010682524,,,O60486,0.0000497,Q9P086,0.642954586,P78382,0.00000418,P10646,0.00000152,Q96AQ8,0.00000131,P61964,0.000000882
O43399,0.256159727,O76009,0.000271229,B3KS98,0.153451451,O75037,0.000202085,P07355,0.034394771,,,O60488,0.000757707,E9PGQ0,0.642994286,Q99700,0.00000419,O95619,0.00000152,P16389,0.00000131,Q9Y2H2,0.000000883
O43402,0.213363067,O76011,0.000133898,P35442,0.119106788,O75044,0.000591558,P07357,0.003281263,,,O60493,0.007411758,D6RAF2,0.643055571,P20023,0.00000419,Q9BTT0-3,0.00000152,Q15797,0.00000131,Q9NQP4,0.000000884
O43414,0.217057519,O76013,6.36E-05,Q9UNZ2,0.18454222,O75052,0.0000458,P07358,0.004631866,,,O60494,0.0000228,Q8TDQ7,0.64307608,Q12983,0.00000419,O43681,0.00000152,O95711,0.00000132,Q92930,0.000000887
O43422,0.212251049,O76014,6.98E-05,P42768,0.019655327,O75054,0.00000797,P07359,0.007944444,,,O60496,0.000601282,Q96GA3,0.643105779,P00367,0.0000042,O14617-2,0.00000152,Q9H3H5,0.00000132,Q9Y6I9,0.000000887
O43424,7.71E-05,O76015,5.95E-05,P45880,0.139240964,O75064,0.000229845,P07384,0.011251872,,,O60499,0.000980258,J3KNB8,0.643126563,Q15527,0.0000042,Q9BUN8,0.00000152,P19113,0.00000132,Q2NL98,0.000000888
O43427,0.218683814,O76021,0.003080902,P36957,0.083562475,O75069,0.0000212,P07437,0.050251806,,,O60502,0.001566899,Q9P0U4,0.643176599,Q9BUA3,0.00000421,O75937,0.00000152,O60610,0.00000132,J3KPD3,0.000000888
O43435,4.23E-06,O76031,0.000436686,P30154,0.185990381,O75083,0.047920163,P07477,0.006485084,,,O60506,0.012739458,Q96CG3,0.643225612,Q9Y5K6,0.00000423,Q9Y508,0.00000152,O60907-2,0.00000133,Q7L0Y3,0.000000889
O43447,0.248683771,O76039,8.81E-06,Q86YW5,0.013301629,O75093,0.00000729,P07585,0.000294499,,,O60508,0.000903122,Q96T75-3,0.643235164,Q9Y5A9,0.00000424,Q8IY17,0.00000152,P13196,0.00000133,Q14320,0.000000889
O43448,4.35E-05,O76071,0.00118827,P19105,0.30509717,O75113,0.000117888,P07602,0.01996608,,,O60512,0.00000741,O15460-2,0.643251509,Q9UQQ2,0.00000424,P08185,0.00000153,Q6NY19,0.00000133,Q9UI30,0.000000891
O43451,2.43E-05,O76081,2.60E-05,P05388,0.16325144,O75116,0.001059928,P07686,0.01079645,,,O60518,0.000173417,D6RDI5,0.643276414,P06732,0.00000425,Q684P5,0.00000153,Q9Y463,0.00000133,O75390,0.000000893
O43464,0.215470639,O76099,0.000121309,O15247,0.017431545,O75121,0.00000748,P07737,0.1228686,,,O60522,0.0000196,D6R9S7,0.643339036,Q8NEJ9,0.00000425,P08246,0.00000153,Q92496,0.00000134,Q9NS84,0.000000896
O43474,0.000781003,O77932,0.000120655,P53992,0.08585191,O75122,0.000900282,P07741,0.004797717,,,O60524,0.000426886,E9PME6,0.643341531,Q13241,0.00000425,Q9UID6,0.00000153,A8MTL9,0.00000134,P28340,0.000000896
O43488,0.251918916,O94760,3.05E-05,P36507,0.067589231,O75131,0.003938589,P07766,0.0000471,,,O60543,0.0000204,Q8WXD5,0.643448892,F8VV04,0.00000426,Q9ULM3,0.00000153,Q15417,0.00000134,Q3MII6,0.000000897
O43491,0.001033799,O94763,0.000559146,Q9UI12,0.049723195,O75143,0.000535794,P07814,0.003268215,,,O60547,0.001052185,Q9HBL8,0.643522844,Q9HB07,0.00000426,P09237,0.00000153,Q8TCF1,0.00000134,Q92990,0.000000897
O43497,1.72E-05,O94766,0.000458537,Q7Z478,0.097402249,O75146,0.000677286,P07858,0.011139793,,,O60551,0.00070234,O75554-2,0.643536885,P60660,0.00000427,Q8IVH8,0.00000153,Q01518-2,0.00000134,O75534-2,0.000000898
O43502,0.209010696,O94768,0.002060999,P02776,0.041585468,O75150,0.002874817,P07864,0.002277409,,,O60563,0.000459667,Q9H0B6,0.643599098,P01699,0.00000428,Q96JJ3,0.00000153,Q9H3P2,0.00000134,P23528,0.000000898
O43513,0.174912635,O94776,0.002904496,Q7L8L6,0.018781651,O75151,0.000102101,P07900,0.025368124,,,O60568,0.0000653,P55773,0.643607045,P33176,0.00000428,M0QZD8,0.00000153,Q96TA1,0.00000135,P62269,0.000000904
O43516,0.255392615,O94788,2.96E-05,P62328,0.096487278,O75155,0.002384829,P07902,0.000387327,,,O60573,0.000568673,Q5TG40,0.643673466,Q8TBF4,0.00000428,Q9Y5K5-2,0.00000154,Q13426,0.00000135,P61626,0.000000907
O43521,0.202737785,O94804,0.005317237,P48163,0.046645295,O75157,0.000180712,P07910,0.01494281,,,O60575,0.000271611,Q9Y276,0.643749047,Q86WR0,0.0000043,P26583,0.00000154,O00571,0.00000135,Q14974,0.000000909
O43524,0.00038529,O94805,0.000276951,P62714,0.093789422,O75161,0.00000275,P07919,0.020715528,,,O60583,0.0000389,C9JXC3,0.643823834,P60900,0.0000043,P49207,0.00000154,Q12974,0.00000135,Q9H7E2-3,0.000000909
O43525,4.20E-05,O94806,2.49E-05,P00390,0.191228792,O75164,0.00000741,P07942,0.00013657,,,O60603,0.000592392,Q9Y3C5,0.643827513,O43866,0.00000431,O95696,0.00000154,P46977,0.00000135,Q5T9L3,0.000000912
O43529,8.70E-06,O94808,0.000175782,P50502,0.11151224,O75165,0.001905137,P07947,0.000869764,,,O60613,0.000934424,A6H8Y1-2,0.643829034,P01009,0.00000431,Q9UL03,0.00000154,Q14157-5,0.00000136,Q6XZF7,0.000000913
O43556,1.49E-06,O94811,0.000282897,Q15642,0.082867002,O75167,0.002197299,P07948,0.004490853,,,O60637,0.000652323,Q02410-2,0.643886031,P62699,0.00000434,Q9Y253,0.00000154,O00287,0.00000136,Q9UJZ1,0.000000915
O43557,0.205354335,O94813,5.11E-06,O15523,0.187277636,O75170,0.000854505,P07951,0.011902037,,,O60641,0.0000847,Q96AE7,0.643896857,Q9H1N7,0.00000434,B2RTY4,0.00000154,Q92844,0.00000136,Q9BZG1,0.000000915
O43561,0.212763499,O94817,0.003054321,Q9HBI1,0.061341248,O75175,0.001318772,P07954,0.011596857,,,O60645,0.001023665,Q96F46-2,0.643901253,Q9NR56-6,0.00000435,Q8WYJ6,0.00000155,Q8N4J0,0.00000136,Q86VS8,0.000000919
O43566,0.240014067,O94818,6.87E-05,P51149,0.27802907,O75179,0.001866204,P07996,0.002032803,,,O60656,0.00000904,O15091,0.64400009,Q9NP87,0.00000435,Q13867,0.00000155,Q9NSK0,0.00000137,P11117,0.000000923
O43567,0.00045373,O94819,0.000209657,O00203,0.153272666,O75182,0.0000164,P07998,0.008468757,,,O60664,0.01076009,Q12933-4,0.644011046,A0A087WZU9,0.00000436,Q14061,0.00000155,P43403,0.00000137,P54762-5,0.000000925
O43572,0.194296488,O94822,0.000150562,Q6NUK1,0.129047253,O75190,0.000446628,P08123,0.000205427,,,O60667,0.000251851,A0A087WYN0,0.644022587,P07199,0.00000438,Q6PCB5,0.00000155,P09172,0.00000137,P46019,0.000000925
O43581,1.45E-06,O94826,0.003656793,P35237,0.091110651,O75208,0.001300832,P08133,0.023047217,,,O60671,0.000765159,Q9NQC3-3,0.644032092,E3W994,0.0000044,Q11130,0.00000155,A0A0A6YYJ7,0.00000137,P55854,0.000000928
O43583,0.242071545,O94829,0.000116275,Q13283,0.252516404,O75223,0.002772577,P08134,0.005932537,,,O60674,0.0000482,P63146,0.644032448,Q96B97,0.00000441,Q5T2R2,0.00000155,P40939,0.00000138,P32969,0.000000928
O43586,0.217447237,O94830,0.000118058,Q6ZU15,0.064630898,O75251,0.001857572,P08151,0.0000404,,,O60675,0.000797004,H3BRU6,0.644035789,E7EQ69,0.00000442,O14678,0.00000156,O75925,0.00000138,Q9UGV2,0.00000093
O43592,0.249780283,O94832,6.72E-05,O14773,0.076427511,O75290,0.000068,P08185,0.00278487,,,O60678,0.0000473,A0A2R8Y653,0.644097407,Q86YQ8,0.00000442,C9J406,0.00000156,Q9H3M7,0.00000138,Q7L5N7,0.000000931
O43593,1.81E-05,O94842,0.000157868,P20618,0.100390926,O75306,0.002894419,P08195,0.01373312,,,O60683,0.000304417,A0A2R8Y5Q7,0.644107964,P23528,0.00000443,Q8TB72,0.00000156,Q9Y315,0.00000138,Q9UNS1,0.000000933
O43597,3.28E-06,O94844,0.000223926,Q9H2K8,0.035649021,O75309,0.0000458,P08236,0.007959614,,,O60684,0.001051275,Q6ZN54-4,0.644172895,P13761,0.00000443,O95573,0.00000156,P04732,0.00000138,Q9ULL5-3,0.000000933
O43598,0.245202729,O94855,0.000171848,O15371,0.092135203,O75312,0.000222634,P08237,0.000515465,,,O60701,0.000192979,Q9H9F9,0.644181033,P78549,0.00000443,A0N4Z7,0.00000156,O95396,0.00000138,Q9BX59,0.000000933
O43610,1.95E-06,O94864,0.000187402,Q96HE7,0.084487842,O75319,0.0000629,P08238,0.020313978,,,O60711,0.004388726,H0Y3K4,0.644233475,P62995,0.00000443,P59998,0.00000157,P50851,0.00000138,Q8WVT3,0.000000936
O43612,0.000326925,O94874,0.001615605,P16591,0.012157506,O75323,0.001723035,P08240,0.000397915,,,O60716,0.000143816,P14859-6,0.644263037,Q9H2H8,0.00000444,O75363,0.00000157,Q9HD47,0.00000139,P02461,0.000000937
O43615,0.241255231,O94880,9.55E-05,O14950,0.29376218,O75330,0.000754366,P08246,0.054409517,,,O60732,0.0000339,B5MCR8,0.644328011,Q9Y421,0.00000444,Q13428-4,0.00000158,E7ETB3,0.00000139,P11586,0.000000938
O43633,0.232739341,O94885,3.38E-05,P35232,0.279548746,O75334,0.000016,P08253,0.001884489,,,O60739,0.002488208,Q9UL03-3,0.644374808,P18583-3,0.00000445,Q8NDX5,0.00000158,O43189,0.00000139,Q9Y3Y2-3,0.000000941
O43639,0.219143566,O94886,0.000889617,P08246,0.023412264,O75335,0.000029,P08254,0.008812085,,,O60749,0.010295859,P82921,0.644439015,Q9Y2Y9,0.00000446,Q6Y7W6,0.00000158,Q12893,0.00000139,Q96KG9,0.000000941
O43660,0.185388406,O94888,0.000889738,P62140,0.269447375,O75339,0.0000066,P08294,0.001754788,,,O60759,0.0000277,P30154,0.644531563,Q8IYR2,0.00000446,Q9BW91,0.00000158,Q96JT2,0.00000139,Q8N954,0.000000942
O43663,0.187249693,O94900,5.37E-05,Q14258,0.093588418,O75340,0.007286266,P08311,0.011404068,,,O60762,0.001770185,P41208,0.644565951,Q92547,0.00000446,Q96ES7,0.00000159,Q15149-6,0.00000139,O95295,0.000000944
O43665,0.014839399,O94901,0.000349813,P28066,0.219423239,O75347,0.010910201,P08514,0.00441691,,,O60763,0.005085236,H7BZ18,0.644598539,O00161,0.00000448,Q9Y4Y9,0.00000159,Q5VWJ9,0.00000139,P55263,0.000000945
