gene	databases_count	databases_list
ENPP2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ENTPD5	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
EPHA1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
EPHX2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ERP44	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ESAM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
EZR	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
F11R	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
F7	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
F9	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FABP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FABP4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FABP5	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FAM3C	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FBP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FCN2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FETUB	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FOLR2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FOLR3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FUCA1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
FURIN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GALNT2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GGH	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GKN1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GLO1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GLOD4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GLRX	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GP1BA	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GP6	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GPNMB	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GRN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
GUCA2A	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
HAGH	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
HAVCR2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
HNRNPK	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
HSP90B1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
HSPB1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
HSPG2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
HYOU1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ICAM1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ICAM3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ICOSLG	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IDS	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IDUA	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IGF2R	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IGFBP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IGFBP2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IGFBP3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IGFBP4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IGFBP6	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IGFBP7	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
