gene	category
JAM2	QuantMS Superior
KAZALD1	QuantMS Superior
KERA	QuantMS Superior
KHK	QuantMS Superior
KIAA1549	QuantMS Superior
KIF13B	QuantMS Superior
KIF2A	QuantMS Superior
KIRREL1	QuantMS Superior
KISS1	QuantMS Superior
KLHL41	QuantMS Superior
KPLCE	QuantMS Superior
KPNA4	QuantMS Superior
LAMTOR2	QuantMS Superior
LAMTOR3	QuantMS Superior
LANCL2	QuantMS Superior
LAT	QuantMS Superior
LCN1	QuantMS Superior
LDLRAP1	QuantMS Superior
LGALS4	QuantMS Superior
LHPP	QuantMS Superior
LIFR	QuantMS Superior
LIMD1	QuantMS Superior
LINGO1	QuantMS Superior
LNPEP	QuantMS Superior
LNPK	QuantMS Superior
LOXL1	QuantMS Superior
LRIG2	QuantMS Superior
LRP11	QuantMS Superior
LRP6	QuantMS Superior
LRRC19	QuantMS Superior
LRRC57	QuantMS Superior
LRRC70	QuantMS Superior
LVRN	QuantMS Superior
LY86	QuantMS Superior
LY9	QuantMS Superior
LYN	QuantMS Superior
LYPLAL1	QuantMS Superior
MACROH2A2	QuantMS Superior
MALRD1	QuantMS Superior
MANEA	QuantMS Superior
MANEAL	QuantMS Superior
MAOB	QuantMS Superior
MAP1A	QuantMS Superior
MAP2K3	QuantMS Superior
MAPK3	QuantMS Superior
MAPKAPK2	QuantMS Superior
MATN2	QuantMS Superior
MATN3	QuantMS Superior
MATN4	QuantMS Superior
MBTPS1	QuantMS Superior
MDGA1	QuantMS Superior
MDP1	QuantMS Superior
ME2	QuantMS Superior
MEMO1	QuantMS Superior
MEP1B	QuantMS Superior
MFNG	QuantMS Superior
MGAT4B	QuantMS Superior
MGST3	QuantMS Superior
MGU	QuantMS Superior
MIA	QuantMS Superior
MIEN1	QuantMS Superior
MILR1	QuantMS Superior
MINDY1	QuantMS Superior
MINDY3	QuantMS Superior
MMP7	QuantMS Superior
MOB4	QuantMS Superior
MSMP	QuantMS Superior
MSR1	QuantMS Superior
MT-CO2	QuantMS Superior
MTM1	QuantMS Superior
MUC2	QuantMS Superior
MVD	QuantMS Superior
MYBPC3	QuantMS Superior
MYCBP	QuantMS Superior
MYCT1	QuantMS Superior
MYO1F	QuantMS Superior
MYO1G	QuantMS Superior
MYO9B	QuantMS Superior
NADSYN1	QuantMS Superior
NAXD	QuantMS Superior
NBEAL2	QuantMS Superior
NCEH1	QuantMS Superior
NCF2	QuantMS Superior
NCF4	QuantMS Superior
NCK1	QuantMS Superior
NCKAP1L	QuantMS Superior
NCKIPSD	QuantMS Superior
NCR3LG1	QuantMS Superior
NCS1	QuantMS Superior
NCSTN	QuantMS Superior
NDNF	QuantMS Superior
NDRG2	QuantMS Superior
NECAP2	QuantMS Superior
NEMF	QuantMS Superior
NEU1	QuantMS Superior
NHERF2	QuantMS Superior
NIBAN1	QuantMS Superior
NIPSNAP3A	QuantMS Superior
NIT1	QuantMS Superior
NLGN1	QuantMS Superior
NLGN2	QuantMS Superior
NMI	QuantMS Superior
NPL	QuantMS Superior
NPPB	QuantMS Superior
NPTX1	QuantMS Superior
NRGN	QuantMS Superior
NRN1	QuantMS Superior
NRXN1	QuantMS Superior
NT5C	QuantMS Superior
NT5C3A	QuantMS Superior
NT5E	QuantMS Superior
NTN1	QuantMS Superior
NUDCD1	QuantMS Superior
NUMB	QuantMS Superior
NXN	QuantMS Superior
OGFOD3	QuantMS Superior
OGFR	QuantMS Superior
OPA1	QuantMS Superior
OS9	QuantMS Superior
OSBP	QuantMS Superior
OSBP2	QuantMS Superior
OSTM1	QuantMS Superior
OTOA	QuantMS Superior
OTULIN	QuantMS Superior
OXR1	QuantMS Superior
OXT	QuantMS Superior
PACS1	QuantMS Superior
PAEP	QuantMS Superior
PAPPA	QuantMS Superior
PAPPA2	QuantMS Superior
PAXX	QuantMS Superior
PBXIP1	QuantMS Superior
PCDH15	QuantMS Superior
PCDH17	QuantMS Superior
PCDH19	QuantMS Superior
PCDHB14	QuantMS Superior
PCDHGA12	QuantMS Superior
PCSK1N	QuantMS Superior
PCSK2	QuantMS Superior
PCSK7	QuantMS Superior
PDIA5	QuantMS Superior
PDXP	QuantMS Superior
PENK	QuantMS Superior
PGGT1B	QuantMS Superior
PGM2L1	QuantMS Superior
PHYKPL	QuantMS Superior
PIP4P2	QuantMS Superior
PITHD1	QuantMS Superior
PITPNM2	QuantMS Superior
PKDCC	QuantMS Superior
PLA2G1B	QuantMS Superior
PLCB1	QuantMS Superior
PLCB2	QuantMS Superior
PLPBP	QuantMS Superior
PLVAP	QuantMS Superior
PMM2	QuantMS Superior
PNLIPRP2	QuantMS Superior
PNPO	QuantMS Superior
PODXL2	QuantMS Superior
POGLUT2	QuantMS Superior
PPCS	QuantMS Superior
PPM1A	QuantMS Superior
PPM1B	QuantMS Superior
PPM1F	QuantMS Superior
PPM1L	QuantMS Superior
PPP1R12C	QuantMS Superior
PPP6R1	QuantMS Superior
PRB4	QuantMS Superior
PRG3	QuantMS Superior
PRH1	QuantMS Superior
PRKACB	QuantMS Superior
PRKAR2B	QuantMS Superior
PRKCB	QuantMS Superior
PRKCD	QuantMS Superior
PRKG1	QuantMS Superior
PROSER2	QuantMS Superior
PRP4K	QuantMS Superior
PRTFDC1	QuantMS Superior
PSG11	QuantMS Superior
PSG5	QuantMS Superior
PSG9	QuantMS Superior
PSTPIP2	QuantMS Superior
PTGS1	QuantMS Superior
PTK2	QuantMS Superior
PTP4A2	QuantMS Superior
PTPN23	QuantMS Superior
PTPRN	QuantMS Superior
PUDP	QuantMS Superior
PYCARD	QuantMS Superior
RAB21	QuantMS Superior
RAB4A	QuantMS Superior
RAB4B	QuantMS Superior
RAB5B	QuantMS Superior
RAB6B	QuantMS Superior
RALB	QuantMS Superior
RAP1GAP2	QuantMS Superior
RASA3	QuantMS Superior
RBBP9	QuantMS Superior
RBP1	QuantMS Superior
RBP2	QuantMS Superior
RDH11	QuantMS Superior
RELCH	QuantMS Superior
REN	QuantMS Superior
RFESD	QuantMS Superior
RGS18	QuantMS Superior
RGS6	QuantMS Superior
RIC8A	QuantMS Superior
RIDA	QuantMS Superior
RILP	QuantMS Superior
RIN3	QuantMS Superior
RMDN3	QuantMS Superior
RNF123	QuantMS Superior
RP2	QuantMS Superior
RRAS	QuantMS Superior
RTCA	QuantMS Superior
RTN1	QuantMS Superior
S100A14	QuantMS Superior
S100B	QuantMS Superior
SACM1L	QuantMS Superior
SAMD14	QuantMS Superior
SARAF	QuantMS Superior
SAV1	QuantMS Superior
SCG2	QuantMS Superior
SCG5	QuantMS Superior
SCGB3A2	QuantMS Superior
SCRG1	QuantMS Superior
SCRN2	QuantMS Superior
SCRN3	QuantMS Superior
SCYL2	QuantMS Superior
SDSL	QuantMS Superior
SEC14L2	QuantMS Superior
SEC14L4	QuantMS Superior
SEC24C	QuantMS Superior
SEC24D	QuantMS Superior
SELENOM	QuantMS Superior
SEMA3B	QuantMS Superior
SEMA3C	QuantMS Superior
SEMA5A	QuantMS Superior
SEMA6A	QuantMS Superior
SERPINB2	QuantMS Superior
SERPINI1	QuantMS Superior
SEZ6	QuantMS Superior
SFRP2	QuantMS Superior
SFRP5	QuantMS Superior
SGCE	QuantMS Superior
SH3GLB1	QuantMS Superior
SHTN1	QuantMS Superior
SIL1	QuantMS Superior
SLAIN2	QuantMS Superior
SLAMF1	QuantMS Superior
SLAMF7	QuantMS Superior
SLC44A1	QuantMS Superior
SLITRK1	QuantMS Superior
SLITRK2	QuantMS Superior
SLITRK6	QuantMS Superior
SLK	QuantMS Superior
SLMAP	QuantMS Superior
SMPX	QuantMS Superior
SMTN	QuantMS Superior
SNF8	QuantMS Superior
SNTB1	QuantMS Superior
SNX17	QuantMS Superior
SOST	QuantMS Superior
SPAG9	QuantMS Superior
SPECC1	QuantMS Superior
SPESP1	QuantMS Superior
SRL	QuantMS Superior
SSC4D	QuantMS Superior
ST3GAL4	QuantMS Superior
ST6GAL2	QuantMS Superior
ST8SIA5	QuantMS Superior
STAM	QuantMS Superior
STC1	QuantMS Superior
STK38	QuantMS Superior
STK39	QuantMS Superior
STRN	QuantMS Superior
STRN4	QuantMS Superior
STT3B	QuantMS Superior
SUCO	QuantMS Superior
SULF1	QuantMS Superior
SUPT6H	QuantMS Superior
SWAP70	QuantMS Superior
SYNM	QuantMS Superior
TACC1	QuantMS Superior
TACC3	QuantMS Superior
TANGO2	QuantMS Superior
TAOK1	QuantMS Superior
TAOK3	QuantMS Superior
TAP1	QuantMS Superior
TAPBP	QuantMS Superior
TBC1D10B	QuantMS Superior
TBC1D23	QuantMS Superior
TBC1D5	QuantMS Superior
TBCEL	QuantMS Superior
TDRP	QuantMS Superior
TENM2	QuantMS Superior
TFF1	QuantMS Superior
TFF3	QuantMS Superior
TFPI2	QuantMS Superior
TG	QuantMS Superior
TM9SF3	QuantMS Superior
TMBIM1	QuantMS Superior
TMED4	QuantMS Superior
TMED8	QuantMS Superior
TMEM248	QuantMS Superior
TMOD1	QuantMS Superior
TMT1A	QuantMS Superior
TNFAIP8	QuantMS Superior
TNFRSF11B	QuantMS Superior
TNFRSF14	QuantMS Superior
TNFSF12	QuantMS Superior
TNFSF13	QuantMS Superior
TNIK	QuantMS Superior
TNNC2	QuantMS Superior
TNNI3	QuantMS Superior
TOM1L2	QuantMS Superior
TOP1	QuantMS Superior
TOR1A	QuantMS Superior
TOR1AIP2	QuantMS Superior
TOR1B	QuantMS Superior
TOR3A	QuantMS Superior
TOR4A	QuantMS Superior
TPK1	QuantMS Superior
TPMT	QuantMS Superior
TPPP3	QuantMS Superior
TPST1	QuantMS Superior
TRABD2A	QuantMS Superior
TRABD2B	QuantMS Superior
TRIM25	QuantMS Superior
TRIP10	QuantMS Superior
TSC22D4	QuantMS Superior
TSNAX	QuantMS Superior
TSPAN33	QuantMS Superior
TSPAN9	QuantMS Superior
TST	QuantMS Superior
TTYH3	QuantMS Superior
TYRP1	QuantMS Superior
UBAC1	QuantMS Superior
UBASH3B	QuantMS Superior
UBE2J1	QuantMS Superior
UBR4	QuantMS Superior
UNC5C	QuantMS Superior
USP47	QuantMS Superior
UXS1	QuantMS Superior
VAMP8	QuantMS Superior
VEGFA	QuantMS Superior
VEGFD	QuantMS Superior
VIL1	QuantMS Superior
VIT	QuantMS Superior
VPS13C	QuantMS Superior
VPS18	QuantMS Superior
VPS25	QuantMS Superior
VPS26B	QuantMS Superior
VPS37A	QuantMS Superior
VWA1	QuantMS Superior
VWA5A	QuantMS Superior
VWA7	QuantMS Superior
VWC2	QuantMS Superior
WASF2	QuantMS Superior
WFDC12	QuantMS Superior
WIPF1	QuantMS Superior
XXYLT1	QuantMS Superior
YOD1	QuantMS Superior
ZG16B	QuantMS Superior
ZNF185	QuantMS Superior
