gene	category
F7	PeptideAtlas Superior
F8	PeptideAtlas Superior
F9	PeptideAtlas Superior
FABP1	PeptideAtlas Superior
FABP4	PeptideAtlas Superior
FABP5	PeptideAtlas Superior
FABP6	PeptideAtlas Superior
FAH	PeptideAtlas Superior
FAM20A	PeptideAtlas Superior
FAM20C	PeptideAtlas Superior
FAM234A	PeptideAtlas Superior
FAM3C	PeptideAtlas Superior
FAP	PeptideAtlas Superior
FAT1	PeptideAtlas Superior
FAT4	PeptideAtlas Superior
FBLN1	PeptideAtlas Superior
FBN1	PeptideAtlas Superior
FBP1	PeptideAtlas Superior
FCGBP	PeptideAtlas Superior
FCGRT	PeptideAtlas Superior
FCMR	PeptideAtlas Superior
FCN1	PeptideAtlas Superior
FCN2	PeptideAtlas Superior
FCRL5	PeptideAtlas Superior
FERMT3	PeptideAtlas Superior
FGA	PeptideAtlas Superior
FGB	PeptideAtlas Superior
FGFBP2	PeptideAtlas Superior
FGFR1	PeptideAtlas Superior
FGFR3	PeptideAtlas Superior
FGFR4	PeptideAtlas Superior
FGG	PeptideAtlas Superior
FGL1	PeptideAtlas Superior
FGL2	PeptideAtlas Superior
FKBP1A	PeptideAtlas Superior
FLNA	PeptideAtlas Superior
FLNB	PeptideAtlas Superior
FLNC	PeptideAtlas Superior
FLT4	PeptideAtlas Superior
FMOD	PeptideAtlas Superior
FOLR2	PeptideAtlas Superior
FOLR3	PeptideAtlas Superior
FREM1	PeptideAtlas Superior
FREM2	PeptideAtlas Superior
FSTL1	PeptideAtlas Superior
FTH1	PeptideAtlas Superior
FTL	PeptideAtlas Superior
FUCA1	PeptideAtlas Superior
FUCA2	PeptideAtlas Superior
FUT11	PeptideAtlas Superior
FUT8	PeptideAtlas Superior
FYB1	PeptideAtlas Superior
G6PD	PeptideAtlas Superior
GAA	PeptideAtlas Superior
GALNS	PeptideAtlas Superior
GALNT1	PeptideAtlas Superior
GALNT10	PeptideAtlas Superior
GALNT2	PeptideAtlas Superior
GALNT4	PeptideAtlas Superior
