"Gene","Concentration","Database","Category","CellType","Dataset","Source_ID","Gene_Dataset"
"TTC39C",19014,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TTC39C_PXD025174"
"TTC39C",25.135190495,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TTC39C_PXD040957"
"TTC4",356980218.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTC4_PXD004352"
"TTC4",26.3117944325,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TTC4_PXD040957"
"TTC5",68605184.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTC5_PXD004352"
"TTC5",24.074108435,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TTC5_PXD040957"
"TTC7A",95134975,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTC7A_PXD004352"
"TTC7B",4112271.875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTC7B_PXD004352"
"TTC9",95747031.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTC9_PXD004352"
"TTC9",24.58622951,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TTC9_PXD040957"
"TTC9C",104333781.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTC9C_PXD004352"
"TTC9C",55421,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TTC9C_PXD025174"
"TTC9C",24.9910626733333,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TTC9C_PXD040957"
"TTF1",70831300,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTF1_PXD004352"
"TTF2",274438312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTF2_PXD004352"
"TTF2",23.4642442025,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TTF2_PXD040957"
"TTI1",174525793.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTI1_PXD004352"
"TTI1",24.08306486,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TTI1_PXD040957"
"TTI2",106460725,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTI2_PXD004352"
"TTK",74987690.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTK_PXD004352"
"TTL",3581387.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTL_PXD004352"
"TTLL12",2961766875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTLL12_PXD004352"
"TTLL12",175271,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TTLL12_PXD025174"
"TTLL12",29.8384407575,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TTLL12_PXD040957"
"TTN",3517,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TTN_PXD025174"
"TTPAL",41072203.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTPAL_PXD004352"
