"Gene","Concentration","Database","Category","CellType","Dataset","Source_ID","Gene_Dataset"
"PEPD",131441,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PEPD_PXD025174"
"PEPD",29.053105945,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PEPD_PXD040957"
"PES1",1554427812.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PES1_PXD004352"
"PES1",46968,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PES1_PXD025174"
"PES1",28.7645585475,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PES1_PXD040957"
"PET112",100603625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PET112_PXD004352"
"PET112",5002,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PET112_PXD025174"
"PET117",8768162.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PET117_PXD004352"
"PEX1",125451875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX1_PXD004352"
"PEX1",23.14889236,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PEX1_PXD040957"
"PEX10",9873100,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX10_PXD004352"
"PEX11B",793494687.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX11B_PXD004352"
"PEX11B",69093,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PEX11B_PXD025174"
"PEX11B",27.86398412,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PEX11B_PXD040957"
"PEX12",2044172.1875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX12_PXD004352"
"PEX13",17596140.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX13_PXD004352"
"PEX14",218975406.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX14_PXD004352"
"PEX14",27951,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PEX14_PXD025174"
"PEX14",25.26025179,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PEX14_PXD040957"
"PEX16",197868127.1875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX16_PXD004352"
"PEX16",10234,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PEX16_PXD025174"
"PEX16",25.25236603,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PEX16_PXD040957"
"PEX19",363202418.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX19_PXD004352"
"PEX19",45023,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PEX19_PXD025174"
"PEX19",26.637948985,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PEX19_PXD040957"
"PEX26",8019462.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX26_PXD004352"
"PEX3",380474640.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX3_PXD004352"
"PEX3",6070,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PEX3_PXD025174"
"PEX3",25.7475747675,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PEX3_PXD040957"
"PEX5",20021257.8125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX5_PXD004352"
"PEX5",23.6788639275,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PEX5_PXD040957"
"PEX6",66405490.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX6_PXD004352"
"PEX7",435062.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PEX7_PXD004352"
"PF4",2124333750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PF4_PXD004352"
"PF4",29.0299046175,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PF4_PXD040957"
"PF4V1",245463901.875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PF4V1_PXD004352"
"PFAS",3951170937.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFAS_PXD004352"
"PFAS",77731,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PFAS_PXD025174"
"PFAS",29.5517695675,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFAS_PXD040957"
"PFDN1",1096599312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFDN1_PXD004352"
"PFDN1",265730,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PFDN1_PXD025174"
"PFDN1",27.4248397725,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFDN1_PXD040957"
"PFDN2",1745737781.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFDN2_PXD004352"
"PFDN2",479950,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PFDN2_PXD025174"
"PFDN2",28.46698606,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFDN2_PXD040957"
"PFDN4",350432843.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFDN4_PXD004352"
"PFDN4",111655,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PFDN4_PXD025174"
"PFDN4",25.3453148725,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFDN4_PXD040957"
"PFDN5",1164901000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFDN5_PXD004352"
"PFDN5",770255,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PFDN5_PXD025174"
"PFDN5",28.6230595825,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFDN5_PXD040957"
"PFDN6",1562177250,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFDN6_PXD004352"
"PFDN6",27.975743945,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFDN6_PXD040957"
"PFKFB2",70866478.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFKFB2_PXD004352"
"PFKFB3",76684525,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFKFB3_PXD004352"
"PFKFB3",24.30583781,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFKFB3_PXD040957"
"PFKFB4",54885925,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFKFB4_PXD004352"
"PFKFB4",23.561278625,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFKFB4_PXD040957"
"PFKL",5987174375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFKL_PXD004352"
"PFKL",565695,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PFKL_PXD025174"
"PFKL",31.05956737,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFKL_PXD040957"
"PFKM",670160565.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFKM_PXD004352"
"PFKM",6724,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PFKM_PXD025174"
"PFKM",25.9270790725,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFKM_PXD040957"
"PFKP",8326580625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFKP_PXD004352"
"PFKP",685678,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PFKP_PXD025174"
"PFKP",29.96258503,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFKP_PXD040957"
"PFN1",88615625000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFN1_PXD004352"
"PFN1",60389852,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PFN1_PXD025174"
"PFN1",34.3494374075,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFN1_PXD040957"
"PFN2",108788837.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PFN2_PXD004352"
"PFN2",26.3502011875,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PFN2_PXD040957"
"PFN3",49498,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PFN3_PXD025174"
"PGAM1",28756446875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGAM1_PXD004352"
"PGAM1",32.25635647,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGAM1_PXD040957"
"PGAM5",1300334062.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGAM5_PXD004352"
"PGAM5",183237,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGAM5_PXD025174"
"PGAM5",27.3818392325,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGAM5_PXD040957"
"PGD",6524963125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGD_PXD004352"
"PGD",971406,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGD_PXD025174"
"PGD",31.06090093,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGD_PXD040957"
"PGGT1B",257601156.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGGT1B_PXD004352"
"PGGT1B",29871,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGGT1B_PXD025174"
"PGGT1B",26.1850070675,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGGT1B_PXD040957"
"PGK1",72423543750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGK1_PXD004352"
"PGK1",34.2397413425,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGK1_PXD040957"
"PGLS",3118650750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGLS_PXD004352"
"PGLS",746610,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGLS_PXD025174"
"PGLS",29.8752792525,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGLS_PXD040957"
"PGLYRP1",2575165.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGLYRP1_PXD004352"
"PGLYRP2",659221925,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGLYRP2_PXD004352"
"PGLYRP2",25.574334855,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGLYRP2_PXD040957"
"PGM1",4488103468.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGM1_PXD004352"
"PGM1",507813,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGM1_PXD025174"
"PGM1",30.180604595,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGM1_PXD040957"
"PGM2",6470264375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGM2_PXD004352"
"PGM2",411461,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGM2_PXD025174"
"PGM2",31.742848515,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGM2_PXD040957"
"PGM2L1",295957750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGM2L1_PXD004352"
"PGM2L1",7785,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGM2L1_PXD025174"
"PGM2L1",26.544111685,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGM2L1_PXD040957"
"PGM3",176558371.875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGM3_PXD004352"
"PGM3",24.280430505,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGM3_PXD040957"
"PGM5",1537618.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGM5_PXD004352"
"PGP",556309246.875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGP_PXD004352"
"PGP",69867,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGP_PXD025174"
"PGP",26.90293297,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGP_PXD040957"
"PGPEP1",57351953.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGPEP1_PXD004352"
"PGPEP1",46786,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGPEP1_PXD025174"
"PGPEP1",23.6446872275,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGPEP1_PXD040957"
"PGRMC1",874245625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGRMC1_PXD004352"
"PGRMC1",247165,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGRMC1_PXD025174"
"PGRMC1",27.1233791225,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGRMC1_PXD040957"
"PGRMC2",1532805000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGRMC2_PXD004352"
"PGRMC2",136741,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PGRMC2_PXD025174"
"PGRMC2",28.5809625875,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGRMC2_PXD040957"
"PGS1",55410512.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PGS1_PXD004352"
"PGS1",24.0288411125,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PGS1_PXD040957"
"PHACTR2",328076960.3125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHACTR2_PXD004352"
"PHACTR4",64204778.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHACTR4_PXD004352"
"PHACTR4",23.1202462975,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHACTR4_PXD040957"
"PHAX",457908656.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHAX_PXD004352"
"PHAX",26.91926947,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHAX_PXD040957"
"PHB",18667675000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHB_PXD004352"
"PHB",32.3140580525,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHB_PXD040957"
"PHB2",19495590625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHB2_PXD004352"
"PHB2",1584913,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHB2_PXD025174"
"PHB2",32.470173685,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHB2_PXD040957"
"PHC1",7871393.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHC1_PXD004352"
"PHC2",328469000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHC2_PXD004352"
"PHC2",23.9009633575,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHC2_PXD040957"
"PHC3",337924625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHC3_PXD004352"
"PHC3",2923,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHC3_PXD025174"
"PHC3",26.67623489,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHC3_PXD040957"
"PHEX",9823557.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHEX_PXD004352"
"PHF1",455311265.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF1_PXD004352"
"PHF1",27.6035788775,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF1_PXD040957"
"PHF10",96470684.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF10_PXD004352"
"PHF10",13836,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHF10_PXD025174"
"PHF10",24.4084195025,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF10_PXD040957"
"PHF11",124331754.6875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF11_PXD004352"
"PHF11",24.6797031,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF11_PXD040957"
"PHF12",37820637.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF12_PXD004352"
"PHF14",288831875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF14_PXD004352"
"PHF14",2058,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHF14_PXD025174"
"PHF14",26.3751205375,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF14_PXD040957"
"PHF15",26.3641481975,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF15_PXD040957"
"PHF19",73459375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF19_PXD004352"
"PHF19",21.831695855,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF19_PXD040957"
"PHF2",358369031.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF2_PXD004352"
"PHF2",12465,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHF2_PXD025174"
"PHF2",26.58931449,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF2_PXD040957"
"PHF20",23677687.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF20_PXD004352"
"PHF20",23.6628329775,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF20_PXD040957"
"PHF20L1",48396840.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF20L1_PXD004352"
"PHF20L1",24.2229870925,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF20L1_PXD040957"
"PHF21A",20807162.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF21A_PXD004352"
"PHF23",166078628.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF23_PXD004352"
"PHF23",15081,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHF23_PXD025174"
"PHF23",25.2439508175,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF23_PXD040957"
"PHF3",744165250,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF3_PXD004352"
"PHF3",1512,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHF3_PXD025174"
"PHF3",27.9870744725,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF3_PXD040957"
"PHF5A",1383059062.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF5A_PXD004352"
"PHF5A",255777,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHF5A_PXD025174"
"PHF5A",28.5029985475,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF5A_PXD040957"
"PHF6",788843156.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF6_PXD004352"
"PHF6",31479,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHF6_PXD025174"
"PHF6",26.755362895,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF6_PXD040957"
"PHF8",314151715.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHF8_PXD004352"
"PHF8",26.6882383025,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHF8_PXD040957"
"PHGDH",3898351000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHGDH_PXD004352"
"PHGDH",29.9793677775,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHGDH_PXD040957"
"PHIP",1031536875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHIP_PXD004352"
"PHIP",7482,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHIP_PXD025174"
"PHIP",28.67960651,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHIP_PXD040957"
"PHKA2",164495125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHKA2_PXD004352"
"PHKA2",24.6264639575,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHKA2_PXD040957"
"PHKB",226184128.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHKB_PXD004352"
"PHKB",5056,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHKB_PXD025174"
"PHKB",26.0123270675,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHKB_PXD040957"
"PHKG2",336870687.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHKG2_PXD004352"
"PHKG2",25.00315558,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHKG2_PXD040957"
"PHLDA1",195256.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHLDA1_PXD004352"
"PHLDB2",18167184.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHLDB2_PXD004352"
"PHOSPHO1",2363512.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHOSPHO1_PXD004352"
"PHOX2B",89760312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHOX2B_PXD004352"
"PHPT1",312852750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHPT1_PXD004352"
"PHPT1",25.9936655925,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHPT1_PXD040957"
"PHRF1",205019840.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHRF1_PXD004352"
"PHRF1",25.5769504175,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PHRF1_PXD040957"
"PHYHD1",3909259.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHYHD1_PXD004352"
"PHYKPL",329414510.9375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PHYKPL_PXD004352"
"PHYKPL",3542,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PHYKPL_PXD025174"
"PI16",17955334.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PI16_PXD004352"
"PI16",20.9380466333333,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PI16_PXD040957"
"PI3",171737.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PI3_PXD004352"
"PI4K2A",187012937.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PI4K2A_PXD004352"
"PI4K2A",23.8378240375,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PI4K2A_PXD040957"
"PI4K2B",164451956.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PI4K2B_PXD004352"
"PI4KA",789578875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PI4KA_PXD004352"
"PI4KA",26.8766239475,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PI4KA_PXD040957"
"PI4KB",163434225,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PI4KB_PXD004352"
"PI4KB",24.3659422275,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PI4KB_PXD040957"
"PIAS1",92769000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIAS1_PXD004352"
"PIAS1",24.5630402725,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PIAS1_PXD040957"
"PIAS2",6239484.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIAS2_PXD004352"
"PIAS4",48238315.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIAS4_PXD004352"
"PIAS4",22.0362188833333,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PIAS4_PXD040957"
"PIBF1",59409518.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIBF1_PXD004352"
"PIBF1",24.62483678,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PIBF1_PXD040957"
"PICALM",753335103.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PICALM_PXD004352"
"PICALM",26.4106724975,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PICALM_PXD040957"
"PID1",6341290.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PID1_PXD004352"
"PIEZO1",57647031.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIEZO1_PXD004352"
"PIGB",13904915.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGB_PXD004352"
"PIGG",28559762.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGG_PXD004352"
"PIGG",21.606149565,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PIGG_PXD040957"
"PIGK",199921781.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGK_PXD004352"
"PIGK",25450,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PIGK_PXD025174"
"PIGK",25.139356585,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PIGK_PXD040957"
"PIGM",4088315.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGM_PXD004352"
"PIGN",145303043.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGN_PXD004352"
"PIGO",72872562.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGO_PXD004352"
"PIGO",22.90108426,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PIGO_PXD040957"
"PIGQ",16679840.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGQ_PXD004352"
"PIGR",44010968.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGR_PXD004352"
"PIGS",715417843.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGS_PXD004352"
"PIGS",41423,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PIGS_PXD025174"
"PIGS",27.9306095275,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PIGS_PXD040957"
"PIGT",502385968.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGT_PXD004352"
"PIGT",23062,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PIGT_PXD025174"
"PIGT",27.314363505,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PIGT_PXD040957"
"PIGU",269434178.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGU_PXD004352"
"PIGU",23989,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","PIGU_PXD025174"
"PIGU",26.166799175,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","PIGU_PXD040957"
"PIGX",15432103.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIGX_PXD004352"
"PIH1D1",270284593.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","PIH1D1_PXD004352"
