"Gene","Database","Category","CellType","Concentration","Dataset"
"MFSD1","ProteomeXchange","CellType","CD8",10007487.5,"PXD004352"
"MFSD10","ProteomeXchange","CellType","CD8",568834187.5,"PXD004352,PXD025174,PXD040957"
"MFSD12","ProteomeXchange","CellType","CD8",8893228.125,"PXD004352"
"MFSD5","ProteomeXchange","CellType","CD8",10085537.5,"PXD004352"
"MFSD6","ProteomeXchange","CellType","CD8",26958872.8125,"PXD004352,PXD040957"
"MFSD8","ProteomeXchange","CellType","CD8",202045640.625,"PXD004352"
"MFSD9","ProteomeXchange","CellType","CD8",561925,"PXD004352"
"MGA","ProteomeXchange","CellType","CD8",148684906.25,"PXD004352,PXD040957"
"MGAM","ProteomeXchange","CellType","CD8",24927121.875,"PXD004352"
"MGAT1","ProteomeXchange","CellType","CD8",370388356.25,"PXD004352,PXD025174,PXD040957"
"MGAT2","ProteomeXchange","CellType","CD8",263781406.25,"PXD004352,PXD025174,PXD040957"
"MGAT3","ProteomeXchange","CellType","CD8",9406328.125,"PXD004352"
"MGAT4A","ProteomeXchange","CellType","CD8",28520050,"PXD004352,PXD040957"
"MGAT4B","ProteomeXchange","CellType","CD8",2516603.125,"PXD004352"
"MGAT5","ProteomeXchange","CellType","CD8",12186834.375,"PXD004352"
"MGEA5","ProteomeXchange","CellType","CD8",1239708812.5,"PXD004352,PXD025174,PXD040957"
"MGLL","ProteomeXchange","CellType","CD8",26392918.75,"PXD004352"
"MGME1","ProteomeXchange","CellType","CD8",185248812.5,"PXD004352,PXD040957"
"MGMT","ProteomeXchange","CellType","CD8",1374544093.75,"PXD004352,PXD025174,PXD040957"
"MGST1","ProteomeXchange","CellType","CD8",596093.75,"PXD004352"
"MGST2","ProteomeXchange","CellType","CD8",95787125,"PXD004352,PXD025174"
"MGST3","ProteomeXchange","CellType","CD8",1025450000,"PXD004352,PXD025174,PXD040957"
"MIA3","ProteomeXchange","CellType","CD8",702370656.25,"PXD004352,PXD025174,PXD040957"
"MIB1","ProteomeXchange","CellType","CD8",60563968.75,"PXD004352"
"MICAL1","ProteomeXchange","CellType","CD8",723879800,"PXD004352,PXD025174,PXD040957"
"MICAL2","ProteomeXchange","CellType","CD8",48391200,"PXD004352"
"MICAL3","ProteomeXchange","CellType","CD8",117199118.75,"PXD004352"
"MICALL1","ProteomeXchange","CellType","CD8",122980562.5,"PXD004352"
"MICALL2","ProteomeXchange","CellType","CD8",12305303.125,"PXD004352"
"MICU1","ProteomeXchange","CellType","CD8",185196615.625,"PXD004352,PXD040957"
"MICU2","ProteomeXchange","CellType","CD8",132450875,"PXD004352,PXD040957"
"MIEF1","ProteomeXchange","CellType","CD8",21685868.75,"PXD004352"
"MIEN1","ProteomeXchange","CellType","CD8",192416250,"PXD004352,PXD025174,PXD040957"
"MIER1","ProteomeXchange","CellType","CD8",412814718.75,"PXD004352,PXD025174,PXD040957"
"MIER2","ProteomeXchange","CellType","CD8",2048375,"PXD004352"
"MIF","ProteomeXchange","CellType","CD8",13140466250,"PXD004352,PXD025174,PXD040957"
"MIF4GD","ProteomeXchange","CellType","CD8",22.72615794,"PXD040957"
"MIIP","ProteomeXchange","CellType","CD8",23185387.5,"PXD004352,PXD040957"
"MILR1","ProteomeXchange","CellType","CD8",786406.25,"PXD004352"
"MINA","ProteomeXchange","CellType","CD8",882319056.25,"PXD004352,PXD025174,PXD040957"
"MINK1","ProteomeXchange","CellType","CD8",131216312.5,"PXD004352,PXD040957"
"MINOS1","ProteomeXchange","CellType","CD8",26.287885345,"PXD040957"
"MINPP1","ProteomeXchange","CellType","CD8",15896581.25,"PXD004352,PXD025174"
"MIOS","ProteomeXchange","CellType","CD8",767469250,"PXD004352,PXD040957"
"MIPEP","ProteomeXchange","CellType","CD8",522227781.25,"PXD004352,PXD025174,PXD040957"
"MIS12","ProteomeXchange","CellType","CD8",103572200,"PXD004352,PXD025174,PXD040957"
"MIS18A","ProteomeXchange","CellType","CD8",28782905,"PXD004352"
"MIS18BP1","ProteomeXchange","CellType","CD8",57204940.625,"PXD004352"
"MITD1","ProteomeXchange","CellType","CD8",47760400,"PXD004352"
"MKI67","ProteomeXchange","CellType","CD8",12877679781.25,"PXD004352,PXD025174,PXD040957"
"MKI67IP","ProteomeXchange","CellType","CD8",28.741754125,"PXD040957"
"MKKS","ProteomeXchange","CellType","CD8",70589906.25,"PXD004352,PXD025174"
"MKL1","ProteomeXchange","CellType","CD8",23.16241715,"PXD040957"
"MKL2","ProteomeXchange","CellType","CD8",14435534.375,"PXD004352"
"MKLN1","ProteomeXchange","CellType","CD8",67186493.75,"PXD004352,PXD040957"
"MKNK2","ProteomeXchange","CellType","CD8",4141843.75,"PXD004352"
"MKRN1","ProteomeXchange","CellType","CD8",29205436.5625,"PXD004352"
"MKRN2","ProteomeXchange","CellType","CD8",234891184.375,"PXD004352,PXD025174,PXD040957"
"MLC1","ProteomeXchange","CellType","CD8",115662.5,"PXD004352"
"MLEC","ProteomeXchange","CellType","CD8",964231875,"PXD004352,PXD025174,PXD040957"
"MLF2","ProteomeXchange","CellType","CD8",19720393.75,"PXD004352"
"MLH1","ProteomeXchange","CellType","CD8",538593187.5,"PXD004352,PXD025174,PXD040957"
"MLKL","ProteomeXchange","CellType","CD8",323779281.25,"PXD004352,PXD040957"
"MLLT1","ProteomeXchange","CellType","CD8",102466625,"PXD004352,PXD025174,PXD040957"
"MLLT11","ProteomeXchange","CellType","CD8",10523234.375,"PXD004352,PXD040957"
"MLLT3","ProteomeXchange","CellType","CD8",56911459.375,"PXD004352"
"MLLT4","ProteomeXchange","CellType","CD8",396565506.25,"PXD004352,PXD025174"
"MLLT6","ProteomeXchange","CellType","CD8",160358896.875,"PXD004352,PXD040957"
"MLST8","ProteomeXchange","CellType","CD8",179849706.25,"PXD004352,PXD040957"
"MLX","ProteomeXchange","CellType","CD8",8264246.875,"PXD004352,PXD040957"
"MLXIP","ProteomeXchange","CellType","CD8",8466887.5,"PXD004352"
"MLYCD","ProteomeXchange","CellType","CD8",447337906.25,"PXD004352,PXD025174,PXD040957"
"MMAA","ProteomeXchange","CellType","CD8",620815125,"PXD004352,PXD025174,PXD040957"
"MMAB","ProteomeXchange","CellType","CD8",549987000,"PXD004352,PXD025174,PXD040957"
"MMACHC","ProteomeXchange","CellType","CD8",15716528.125,"PXD004352"
"MMADHC","ProteomeXchange","CellType","CD8",28236796.875,"PXD004352"
"MME","ProteomeXchange","CellType","CD8",349955303.125,"PXD004352"
"MMGT1","ProteomeXchange","CellType","CD8",141625250,"PXD004352,PXD025174,PXD040957"
"MMP1","ProteomeXchange","CellType","CD8",1600521.875,"PXD004352"
"MMP14","ProteomeXchange","CellType","CD8",17306912.5,"PXD004352"
"MMP15","ProteomeXchange","CellType","CD8",177546.875,"PXD004352"
"MMP2","ProteomeXchange","CellType","CD8",27715800.3125,"PXD004352"
"MMP25","ProteomeXchange","CellType","CD8",13474937.5,"PXD004352,PXD025174"
"MMP8","ProteomeXchange","CellType","CD8",13274296.875,"PXD004352"
"MMP9","ProteomeXchange","CellType","CD8",34750624.6875,"PXD004352"
"MMRN1","ProteomeXchange","CellType","CD8",216834619.375,"PXD004352"
"MMS19","ProteomeXchange","CellType","CD8",2076717812.5,"PXD004352,PXD025174,PXD040957"
"MMS22L","ProteomeXchange","CellType","CD8",63307746.875,"PXD004352"
"MMTAG2","ProteomeXchange","CellType","CD8",236939312.5,"PXD004352,PXD025174,PXD040957"
"MNAT1","ProteomeXchange","CellType","CD8",235795937.5,"PXD004352,PXD025174,PXD040957"
"MND1","ProteomeXchange","CellType","CD8",14061153.125,"PXD004352"
"MNDA","ProteomeXchange","CellType","CD8",396177750,"PXD004352"
"MNF1","ProteomeXchange","CellType","CD8",25.649839785,"PXD040957"
"MNT","ProteomeXchange","CellType","CD8",35039790.625,"PXD004352,PXD040957"
"MOB1A","ProteomeXchange","CellType","CD8",108111375,"PXD004352"
"MOB1B","ProteomeXchange","CellType","CD8",785916625,"PXD004352"
"MOB2","ProteomeXchange","CellType","CD8",250586906.25,"PXD004352,PXD025174,PXD040957"
"MOB3A","ProteomeXchange","CellType","CD8",1145191312.5,"PXD004352,PXD025174,PXD040957"
"MOB3B","ProteomeXchange","CellType","CD8",526206.25,"PXD004352"
"MOB3C","ProteomeXchange","CellType","CD8",1478871.875,"PXD004352"
"MOB4","ProteomeXchange","CellType","CD8",24964015.625,"PXD004352,PXD040957"
"MOCS2","ProteomeXchange","CellType","CD8",39722496.875,"PXD004352,PXD025174,PXD040957"
"MOCS3","ProteomeXchange","CellType","CD8",230249437.5,"PXD004352,PXD025174,PXD040957"
"MOGS","ProteomeXchange","CellType","CD8",3067379687.5,"PXD004352,PXD040957"
"MON1A","ProteomeXchange","CellType","CD8",8613919.6875,"PXD004352"
"MON1B","ProteomeXchange","CellType","CD8",151877240.625,"PXD004352,PXD040957"
"MON2","ProteomeXchange","CellType","CD8",419495937.5,"PXD004352,PXD025174,PXD040957"
"MORC2","ProteomeXchange","CellType","CD8",136879425,"PXD004352,PXD040957"
"MORC3","ProteomeXchange","CellType","CD8",824489406.25,"PXD004352,PXD025174,PXD040957"
"MORF4L1","ProteomeXchange","CellType","CD8",392353937.5,"PXD004352,PXD025174,PXD040957"
"MORF4L2","ProteomeXchange","CellType","CD8",60325990.625,"PXD004352,PXD040957"
"MOSPD1","ProteomeXchange","CellType","CD8",6949062.5,"PXD004352"
"MOSPD2","ProteomeXchange","CellType","CD8",176863562.5,"PXD004352,PXD025174,PXD040957"
"MOSPD3","ProteomeXchange","CellType","CD8",9057,"PXD025174"
"MOV10","ProteomeXchange","CellType","CD8",818563625,"PXD004352,PXD025174,PXD040957"
"MPC1","ProteomeXchange","CellType","CD8",19937,"PXD025174"
"MPC2","ProteomeXchange","CellType","CD8",402922156.25,"PXD004352,PXD040957"
"MPDU1","ProteomeXchange","CellType","CD8",26.993599465,"PXD040957"
"MPEG1","ProteomeXchange","CellType","CD8",163478906.25,"PXD004352"
"MPG","ProteomeXchange","CellType","CD8",545484000,"PXD004352,PXD025174,PXD040957"
"MPHOSPH10","ProteomeXchange","CellType","CD8",770270812.5,"PXD004352,PXD025174,PXD040957"
"MPHOSPH6","ProteomeXchange","CellType","CD8",231153968.75,"PXD004352,PXD040957"
"MPHOSPH8","ProteomeXchange","CellType","CD8",463127031.25,"PXD004352,PXD025174,PXD040957"
"MPI","ProteomeXchange","CellType","CD8",1807155343.75,"PXD004352,PXD025174,PXD040957"
"MPLKIP","ProteomeXchange","CellType","CD8",49457812.5,"PXD004352,PXD040957"
"MPND","ProteomeXchange","CellType","CD8",600190.625,"PXD004352"
"MPO","ProteomeXchange","CellType","CD8",179150218.75,"PXD004352,PXD040957"
"MPP1","ProteomeXchange","CellType","CD8",205345165.625,"PXD004352,PXD025174,PXD040957"
"MPP6","ProteomeXchange","CellType","CD8",328501968.75,"PXD004352,PXD040957"
"MPP7","ProteomeXchange","CellType","CD8",215285403.125,"PXD004352,PXD040957"
"MPPE1","ProteomeXchange","CellType","CD8",13426646.875,"PXD004352,PXD040957"
"MPRIP","ProteomeXchange","CellType","CD8",393731312.5,"PXD004352,PXD040957"
"MPST","ProteomeXchange","CellType","CD8",391136590.625,"PXD004352,PXD025174"
"MPV17","ProteomeXchange","CellType","CD8",258750765.625,"PXD004352,PXD025174,PXD040957"
"MPV17L2","ProteomeXchange","CellType","CD8",6617228.125,"PXD004352"
"MPZL1","ProteomeXchange","CellType","CD8",10227706.25,"PXD004352"
"MPZL2","ProteomeXchange","CellType","CD8",6129281.25,"PXD004352"
"MR1","ProteomeXchange","CellType","CD8",17741268.75,"PXD004352"
"MRC1","ProteomeXchange","CellType","CD8",34074853.125,"PXD004352"
"MRC2","ProteomeXchange","CellType","CD8",25014840.625,"PXD004352"
"MRE11A","ProteomeXchange","CellType","CD8",1972360625,"PXD004352,PXD025174,PXD040957"
"MREG","ProteomeXchange","CellType","CD8",7020718.75,"PXD004352"
"MRFAP1","ProteomeXchange","CellType","CD8",39313943.75,"PXD004352"
"MRGBP","ProteomeXchange","CellType","CD8",178443131.25,"PXD004352,PXD025174,PXD040957"
"MRI","ProteomeXchange","CellType","CD8",2861893.75,"PXD004352,PXD040957"
"MRI1","ProteomeXchange","CellType","CD8",545184543.75,"PXD004352,PXD025174,PXD040957"
"MRM1","ProteomeXchange","CellType","CD8",2791819687.5,"PXD004352,PXD040957"
"MROH1","ProteomeXchange","CellType","CD8",510345887.5,"PXD004352,PXD040957"
"MRP63","ProteomeXchange","CellType","CD8",25.21063122,"PXD040957"
"MRPL1","ProteomeXchange","CellType","CD8",997584656.25,"PXD004352,PXD025174,PXD040957"
"MRPL10","ProteomeXchange","CellType","CD8",500900281.25,"PXD004352,PXD025174,PXD040957"
"MRPL11","ProteomeXchange","CellType","CD8",1007403531.25,"PXD004352,PXD025174,PXD040957"
"MRPL12","ProteomeXchange","CellType","CD8",1842784062.5,"PXD004352"
"MRPL13","ProteomeXchange","CellType","CD8",585217368.75,"PXD004352,PXD025174,PXD040957"
"MRPL14","ProteomeXchange","CellType","CD8",637666250,"PXD004352,PXD025174,PXD040957"
"MRPL15","ProteomeXchange","CellType","CD8",1001402093.75,"PXD004352,PXD025174,PXD040957"
"MRPL16","ProteomeXchange","CellType","CD8",611151312.5,"PXD004352,PXD025174,PXD040957"
"MRPL17","ProteomeXchange","CellType","CD8",491376781.25,"PXD004352,PXD025174,PXD040957"
"MRPL18","ProteomeXchange","CellType","CD8",331693875,"PXD004352,PXD025174,PXD040957"
"MRPL19","ProteomeXchange","CellType","CD8",631940812.5,"PXD004352,PXD025174,PXD040957"
"MRPL2","ProteomeXchange","CellType","CD8",276464250,"PXD004352,PXD025174,PXD040957"
"MRPL20","ProteomeXchange","CellType","CD8",189211156.25,"PXD004352,PXD025174,PXD040957"
"MRPL21","ProteomeXchange","CellType","CD8",541163750,"PXD004352,PXD025174,PXD040957"
"MRPL22","ProteomeXchange","CellType","CD8",386279875,"PXD004352,PXD040957"
"MRPL23","ProteomeXchange","CellType","CD8",303836000,"PXD004352,PXD025174,PXD040957"
"MRPL24","ProteomeXchange","CellType","CD8",460264343.75,"PXD004352,PXD025174,PXD040957"
"MRPL27","ProteomeXchange","CellType","CD8",394626093.75,"PXD004352,PXD040957"
"MRPL28","ProteomeXchange","CellType","CD8",346891718.75,"PXD004352,PXD025174,PXD040957"
"MRPL3","ProteomeXchange","CellType","CD8",638549750,"PXD004352,PXD025174,PXD040957"
"MRPL30","ProteomeXchange","CellType","CD8",64797767.8125,"PXD004352,PXD025174,PXD040957"
"MRPL32","ProteomeXchange","CellType","CD8",212358875,"PXD004352,PXD040957"
"MRPL33","ProteomeXchange","CellType","CD8",158437406.25,"PXD004352,PXD025174,PXD040957"
"MRPL34","ProteomeXchange","CellType","CD8",76620050,"PXD004352,PXD025174,PXD040957"
"MRPL35","ProteomeXchange","CellType","CD8",144906250,"PXD004352,PXD040957"
"MRPL37","ProteomeXchange","CellType","CD8",944991250,"PXD004352,PXD025174,PXD040957"
"MRPL38","ProteomeXchange","CellType","CD8",546492968.75,"PXD004352,PXD025174,PXD040957"
"MRPL39","ProteomeXchange","CellType","CD8",751918625,"PXD004352,PXD025174,PXD040957"
"MRPL4","ProteomeXchange","CellType","CD8",706923625,"PXD004352,PXD025174,PXD040957"
"MRPL40","ProteomeXchange","CellType","CD8",260857656.25,"PXD004352,PXD025174,PXD040957"
"MRPL41","ProteomeXchange","CellType","CD8",345464937.5,"PXD004352,PXD025174,PXD040957"
"MRPL42","ProteomeXchange","CellType","CD8",53128143.75,"PXD004352"
"MRPL43","ProteomeXchange","CellType","CD8",340771562.5,"PXD004352,PXD025174,PXD040957"
"MRPL44","ProteomeXchange","CellType","CD8",951562812.5,"PXD004352,PXD025174,PXD040957"
"MRPL45","ProteomeXchange","CellType","CD8",505079656.25,"PXD004352,PXD025174,PXD040957"
"MRPL46","ProteomeXchange","CellType","CD8",1105262000,"PXD004352,PXD025174,PXD040957"
"MRPL47","ProteomeXchange","CellType","CD8",496644375,"PXD004352,PXD025174,PXD040957"
"MRPL48","ProteomeXchange","CellType","CD8",204693375,"PXD004352,PXD025174,PXD040957"
"MRPL49","ProteomeXchange","CellType","CD8",459675718.75,"PXD004352,PXD025174,PXD040957"
"MRPL50","ProteomeXchange","CellType","CD8",439646062.5,"PXD004352,PXD025174,PXD040957"
"MRPL51","ProteomeXchange","CellType","CD8",80844437.5,"PXD004352,PXD040957"
"MRPL52","ProteomeXchange","CellType","CD8",30521565.625,"PXD004352,PXD025174,PXD040957"
"MRPL53","ProteomeXchange","CellType","CD8",188413125,"PXD004352,PXD025174,PXD040957"
"MRPL54","ProteomeXchange","CellType","CD8",121267937.5,"PXD004352,PXD025174,PXD040957"
"MRPL55","ProteomeXchange","CellType","CD8",135690593.75,"PXD004352,PXD025174,PXD040957"
"MRPL57","ProteomeXchange","CellType","CD8",185252353.125,"PXD004352"
"MRPL9","ProteomeXchange","CellType","CD8",764483093.75,"PXD004352,PXD025174,PXD040957"
"MRPS10","ProteomeXchange","CellType","CD8",260947906.25,"PXD004352,PXD025174,PXD040957"
"MRPS11","ProteomeXchange","CellType","CD8",196956812.5,"PXD004352,PXD025174,PXD040957"
"MRPS12","ProteomeXchange","CellType","CD8",230844718.75,"PXD004352,PXD040957"
"MRPS14","ProteomeXchange","CellType","CD8",292961106.25,"PXD004352,PXD025174,PXD040957"
"MRPS15","ProteomeXchange","CellType","CD8",166741906.25,"PXD004352,PXD025174,PXD040957"
"MRPS16","ProteomeXchange","CellType","CD8",387557406.25,"PXD004352,PXD025174,PXD040957"
"MRPS17","ProteomeXchange","CellType","CD8",536196750,"PXD004352,PXD025174,PXD040957"
"MRPS18A","ProteomeXchange","CellType","CD8",565353750,"PXD004352,PXD025174,PXD040957"
"MRPS18B","ProteomeXchange","CellType","CD8",342010031.25,"PXD004352,PXD025174,PXD040957"
"MRPS18C","ProteomeXchange","CellType","CD8",33582568.75,"PXD004352,PXD025174"
"MRPS2","ProteomeXchange","CellType","CD8",508735684.375,"PXD004352,PXD025174,PXD040957"
"MRPS21","ProteomeXchange","CellType","CD8",111592700,"PXD004352,PXD025174,PXD040957"
"MRPS22","ProteomeXchange","CellType","CD8",1022133843.75,"PXD004352,PXD025174,PXD040957"
"MRPS23","ProteomeXchange","CellType","CD8",494555218.75,"PXD004352,PXD025174,PXD040957"
"MRPS24","ProteomeXchange","CellType","CD8",207246718.75,"PXD004352,PXD040957"
"MRPS25","ProteomeXchange","CellType","CD8",341588062.5,"PXD004352,PXD040957"
"MRPS26","ProteomeXchange","CellType","CD8",339096437.5,"PXD004352,PXD025174,PXD040957"
"MRPS27","ProteomeXchange","CellType","CD8",720014593.75,"PXD004352,PXD025174,PXD040957"
"MRPS28","ProteomeXchange","CellType","CD8",134744946.875,"PXD004352,PXD025174,PXD040957"
"MRPS30","ProteomeXchange","CellType","CD8",526597468.75,"PXD004352,PXD025174,PXD040957"
"MRPS31","ProteomeXchange","CellType","CD8",485466781.25,"PXD004352,PXD025174,PXD040957"
"MRPS33","ProteomeXchange","CellType","CD8",213186281.25,"PXD004352,PXD040957"
"MRPS34","ProteomeXchange","CellType","CD8",507427062.5,"PXD004352,PXD025174,PXD040957"
"MRPS35","ProteomeXchange","CellType","CD8",610565937.5,"PXD004352,PXD025174,PXD040957"
"MRPS36","ProteomeXchange","CellType","CD8",1319090937.5,"PXD004352,PXD025174,PXD040957"
"MRPS5","ProteomeXchange","CellType","CD8",492118625,"PXD004352,PXD025174,PXD040957"
"MRPS6","ProteomeXchange","CellType","CD8",399408281.25,"PXD004352,PXD025174,PXD040957"
"MRPS7","ProteomeXchange","CellType","CD8",652732812.5,"PXD004352,PXD025174,PXD040957"
"MRPS9","ProteomeXchange","CellType","CD8",441789937.5,"PXD004352,PXD025174,PXD040957"
"MRRF","ProteomeXchange","CellType","CD8",394492656.25,"PXD004352,PXD025174,PXD040957"
"MRS2","ProteomeXchange","CellType","CD8",37498115.625,"PXD004352,PXD040957"
"MRTO4","ProteomeXchange","CellType","CD8",2070646250,"PXD004352,PXD040957"
"MRVI1","ProteomeXchange","CellType","CD8",2872746.875,"PXD004352"
"MS4A1","ProteomeXchange","CellType","CD8",46332868.75,"PXD004352"
"MS4A2","ProteomeXchange","CellType","CD8",1832156.25,"PXD004352"
"MS4A6A","ProteomeXchange","CellType","CD8",12107165.625,"PXD004352"
"MSANTD2","ProteomeXchange","CellType","CD8",11220206.25,"PXD004352,PXD040957"
"MSH2","ProteomeXchange","CellType","CD8",2912150937.5,"PXD004352,PXD025174,PXD040957"
"MSH3","ProteomeXchange","CellType","CD8",554313656.25,"PXD004352,PXD025174,PXD040957"
"MSH6","ProteomeXchange","CellType","CD8",2506221562.5,"PXD004352,PXD040957"
"MSI2","ProteomeXchange","CellType","CD8",27.6056144125,"PXD040957"
"MSL1","ProteomeXchange","CellType","CD8",52410062.5,"PXD004352,PXD040957"
"MSL2","ProteomeXchange","CellType","CD8",88530315.625,"PXD004352,PXD040957"
"MSL3","ProteomeXchange","CellType","CD8",43350496.875,"PXD004352,PXD040957"
"MSMO1","ProteomeXchange","CellType","CD8",126756240.625,"PXD004352,PXD025174,PXD040957"
"MSN","ProteomeXchange","CellType","CD8",67232715625,"PXD004352,PXD040957"
"MSRA","ProteomeXchange","CellType","CD8",123936407.5,"PXD004352,PXD025174,PXD040957"
"MSRB1","ProteomeXchange","CellType","CD8",581781.25,"PXD004352"
"MSRB2","ProteomeXchange","CellType","CD8",21244592.8125,"PXD004352"
"MST1","ProteomeXchange","CellType","CD8",192806.25,"PXD004352"
"MST4","ProteomeXchange","CellType","CD8",29.163066625,"PXD040957"
"MSTO1","ProteomeXchange","CellType","CD8",118149093.75,"PXD004352,PXD040957"
"MT-ATP6","ProteomeXchange","CellType","CD8",1250655062.5,"PXD004352,PXD040957"
"MT-ATP8","ProteomeXchange","CellType","CD8",542099687.5,"PXD004352,PXD040957"
"MT-CO1","ProteomeXchange","CellType","CD8",664013468.75,"PXD004352,PXD040957"
"MT-CO2","ProteomeXchange","CellType","CD8",10201878125,"PXD004352,PXD040957"
"MT-CO3","ProteomeXchange","CellType","CD8",48590575,"PXD004352,PXD040957"
"MT-CYB","ProteomeXchange","CellType","CD8",19904875,"PXD004352,PXD040957"
"MT-ND1","ProteomeXchange","CellType","CD8",201568103.125,"PXD004352,PXD040957"
"MT-ND2","ProteomeXchange","CellType","CD8",22412706.25,"PXD004352"
"MT-ND3","ProteomeXchange","CellType","CD8",83341968.75,"PXD004352,PXD040957"
"MT-ND4","ProteomeXchange","CellType","CD8",530956918.75,"PXD004352,PXD040957"
"MT-ND5","ProteomeXchange","CellType","CD8",436067093.75,"PXD004352,PXD040957"
"MT-ND6","ProteomeXchange","CellType","CD8",10417343.75,"PXD004352,PXD040957"
"MT1F","ProteomeXchange","CellType","CD8",271475,"PXD004352"
"MT1L","ProteomeXchange","CellType","CD8",708881.25,"PXD004352"
"MT2A","ProteomeXchange","CellType","CD8",42892290.625,"PXD004352,PXD040957"
"MT3","ProteomeXchange","CellType","CD8",523377.8125,"PXD004352"
"MTA1","ProteomeXchange","CellType","CD8",1233968750,"PXD004352,PXD025174,PXD040957"
"MTA2","ProteomeXchange","CellType","CD8",7308871875,"PXD004352,PXD025174"
"MTA3","ProteomeXchange","CellType","CD8",49828931.25,"PXD004352,PXD040957"
"MTAP","ProteomeXchange","CellType","CD8",2315522187.5,"PXD004352,PXD025174,PXD040957"
"MTCH1","ProteomeXchange","CellType","CD8",589309593.75,"PXD004352,PXD040957"
"MTCH2","ProteomeXchange","CellType","CD8",4873866562.5,"PXD004352,PXD025174,PXD040957"
"MTDH","ProteomeXchange","CellType","CD8",3414919687.5,"PXD004352,PXD025174,PXD040957"
"MTERF3","ProteomeXchange","CellType","CD8",41331612.5,"PXD004352"
"MTERF4","ProteomeXchange","CellType","CD8",113309212.5,"PXD004352"
"MTERFD2","ProteomeXchange","CellType","CD8",25.2880001125,"PXD040957"
"MTF2","ProteomeXchange","CellType","CD8",85267131.25,"PXD004352"
"MTFMT","ProteomeXchange","CellType","CD8",124181887.5,"PXD004352,PXD025174,PXD040957"
"MTFP1","ProteomeXchange","CellType","CD8",36277896.875,"PXD004352,PXD040957"
"MTFR1L","ProteomeXchange","CellType","CD8",229262937.5,"PXD004352,PXD025174,PXD040957"
"MTFR2","ProteomeXchange","CellType","CD8",95582621.875,"PXD004352"
"MTG1","ProteomeXchange","CellType","CD8",112506843.75,"PXD004352,PXD040957"
"MTG2","ProteomeXchange","CellType","CD8",46810515.625,"PXD004352"
"MTHFD1","ProteomeXchange","CellType","CD8",12278831250,"PXD004352,PXD025174,PXD040957"
"MTHFD1L","ProteomeXchange","CellType","CD8",1344700375,"PXD004352,PXD025174,PXD040957"
"MTHFD2","ProteomeXchange","CellType","CD8",1523088278.125,"PXD004352,PXD025174,PXD040957"
"MTHFR","ProteomeXchange","CellType","CD8",102240437.5,"PXD004352,PXD040957"
"MTHFS","ProteomeXchange","CellType","CD8",193992656.25,"PXD004352,PXD025174,PXD040957"
"MTHFSD","ProteomeXchange","CellType","CD8",101501593.75,"PXD004352,PXD040957"
"MTIF2","ProteomeXchange","CellType","CD8",238218281.25,"PXD004352,PXD040957"
"MTIF3","ProteomeXchange","CellType","CD8",183162309.375,"PXD004352,PXD040957"
"MTM1","ProteomeXchange","CellType","CD8",475604262.5,"PXD004352,PXD025174,PXD040957"
"MTMR1","ProteomeXchange","CellType","CD8",679587531.25,"PXD004352,PXD025174,PXD040957"
"MTMR10","ProteomeXchange","CellType","CD8",134415596.875,"PXD004352,PXD040957"
"MTMR12","ProteomeXchange","CellType","CD8",238631506.25,"PXD004352,PXD040957"
"MTMR14","ProteomeXchange","CellType","CD8",155065559.375,"PXD004352,PXD025174,PXD040957"
"MTMR2","ProteomeXchange","CellType","CD8",32599518.75,"PXD004352"
"MTMR3","ProteomeXchange","CellType","CD8",120312612.5,"PXD004352,PXD040957"
"MTMR6","ProteomeXchange","CellType","CD8",234291312.5,"PXD004352,PXD025174,PXD040957"
"MTMR9","ProteomeXchange","CellType","CD8",85627809.375,"PXD004352,PXD040957"
"MTO1","ProteomeXchange","CellType","CD8",118170743.75,"PXD004352,PXD025174,PXD040957"
"MTOR","ProteomeXchange","CellType","CD8",1410648531.25,"PXD004352,PXD025174,PXD040957"
"MTPAP","ProteomeXchange","CellType","CD8",407028218.75,"PXD004352,PXD025174,PXD040957"
"MTPN","ProteomeXchange","CellType","CD8",2105434687.5,"PXD004352,PXD040957"
"MTR","ProteomeXchange","CellType","CD8",213668718.75,"PXD004352,PXD040957"
"MTRF1","ProteomeXchange","CellType","CD8",13287034.375,"PXD004352,PXD040957"
"MTRF1L","ProteomeXchange","CellType","CD8",6893028.125,"PXD004352"
"MTRR","ProteomeXchange","CellType","CD8",12116100,"PXD004352"
"MTSS1","ProteomeXchange","CellType","CD8",84508750,"PXD004352"
"MTSS1L","ProteomeXchange","CellType","CD8",126178.4375,"PXD004352"
"MTURN","ProteomeXchange","CellType","CD8",643084.375,"PXD004352"
"MTX1","ProteomeXchange","CellType","CD8",468721406.25,"PXD004352,PXD025174,PXD040957"
"MTX2","ProteomeXchange","CellType","CD8",1277135906.25,"PXD004352,PXD025174,PXD040957"
"MTX3","ProteomeXchange","CellType","CD8",5336418.75,"PXD004352"
"MUL1","ProteomeXchange","CellType","CD8",15564018.75,"PXD004352"
"MUM1","ProteomeXchange","CellType","CD8",5427631.25,"PXD004352"
"MUS81","ProteomeXchange","CellType","CD8",27231506.25,"PXD004352"
"MUT","ProteomeXchange","CellType","CD8",1347221218.75,"PXD004352,PXD025174,PXD040957"
"MUTYH","ProteomeXchange","CellType","CD8",60656502.8125,"PXD004352,PXD040957"
