"Gene","Database","Category","CellType","Concentration","Dataset"
"ACBD5","ProteomeXchange","CellType","CD8",182199215.15625,"PXD004352"
"ACBD6","ProteomeXchange","CellType","CD8",38709287.5,"PXD004352,PXD040957"
"ACD","ProteomeXchange","CellType","CD8",152820590.625,"PXD004352,PXD040957"
"ACE","ProteomeXchange","CellType","CD8",125339687.5,"PXD004352"
"ACER3","ProteomeXchange","CellType","CD8",694946.875,"PXD004352"
"ACIN1","ProteomeXchange","CellType","CD8",5647880000,"PXD004352,PXD040957"
"ACLY","ProteomeXchange","CellType","CD8",11109466562.5,"PXD004352,PXD040957"
"ACN9","ProteomeXchange","CellType","CD8",11363646.875,"PXD004352"
"ACO1","ProteomeXchange","CellType","CD8",1446154218.75,"PXD004352"
"ACO2","ProteomeXchange","CellType","CD8",18575596875,"PXD004352,PXD025174,PXD040957"
"ACOT1","ProteomeXchange","CellType","CD8",38067881.25,"PXD004352,PXD040957"
"ACOT11","ProteomeXchange","CellType","CD8",21076150.3125,"PXD004352"
"ACOT13","ProteomeXchange","CellType","CD8",938168187.5,"PXD004352,PXD025174,PXD040957"
"ACOT2","ProteomeXchange","CellType","CD8",930170175,"PXD004352,PXD040957"
"ACOT7","ProteomeXchange","CellType","CD8",1263302312.5,"PXD004352,PXD025174,PXD040957"
"ACOT8","ProteomeXchange","CellType","CD8",96304193.75,"PXD004352,PXD040957"
"ACOT9","ProteomeXchange","CellType","CD8",3151727812.5,"PXD004352,PXD025174,PXD040957"
"ACOX1","ProteomeXchange","CellType","CD8",308465906.25,"PXD004352,PXD025174,PXD040957"
"ACOX3","ProteomeXchange","CellType","CD8",755840093.75,"PXD004352,PXD025174,PXD040957"
"ACP1","ProteomeXchange","CellType","CD8",2020561562.5,"PXD004352,PXD025174,PXD040957"
"ACP2","ProteomeXchange","CellType","CD8",237554125,"PXD004352,PXD025174,PXD040957"
"ACP5","ProteomeXchange","CellType","CD8",18106850,"PXD004352,PXD025174"
"ACP6","ProteomeXchange","CellType","CD8",131913837.5,"PXD004352,PXD040957"
"ACPP","ProteomeXchange","CellType","CD8",2974359.375,"PXD004352"
"ACSF2","ProteomeXchange","CellType","CD8",334448000,"PXD004352,PXD025174,PXD040957"
"ACSF3","ProteomeXchange","CellType","CD8",1276314750,"PXD004352,PXD025174,PXD040957"
"ACSL1","ProteomeXchange","CellType","CD8",513556312.5,"PXD004352,PXD025174,PXD040957"
"ACSL3","ProteomeXchange","CellType","CD8",896379062.5,"PXD004352,PXD040957"
"ACSL4","ProteomeXchange","CellType","CD8",1860349437.5,"PXD004352,PXD040957"
"ACSL5","ProteomeXchange","CellType","CD8",940223375,"PXD004352,PXD025174,PXD040957"
"ACSL6","ProteomeXchange","CellType","CD8",44429337.5,"PXD004352,PXD025174"
"ACSM3","ProteomeXchange","CellType","CD8",57804984.375,"PXD004352"
"ACSS1","ProteomeXchange","CellType","CD8",1027636562.5,"PXD004352,PXD040957"
"ACSS2","ProteomeXchange","CellType","CD8",61327296.875,"PXD004352,PXD040957"
"ACT","ProteomeXchange","CellType","CD8",294817,"PXD025174"
